이름,주소,태그,전화번호,홈페이지,운영시간,이미지,소개
1.교동미술관, 전북 전주시 완산구 경기전길 89 ,#전주#문화공간#관람시설, 063-287-1245, http://www.gdart.co.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f24f42f4-27c6-4f83-80ae-17f98d2ba74a.jpg.png, 영업시간 오전 10시~오후11시까지 영업 월요일은 휴관이며 화요일~일요일 6일간 오픈되어 있습니다
2.국립무형유산원, 전북 전주시 완산구 서학로95 (동서학동 896-1) ,#전주#문화공간#관람시설, 063-280-1400, http://www.nihc.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/7786036f-2c6e-41d3-9063-29e5bf7d94c5.jpg.png,공간소개- 국립무형유산원은 우리 전통문화의 근간이 되는 무형유산을 체계적으로 보존·계승하기 위해 설립된 문화재청 소속기관으로 무형유산 공연 전시 교육 전승지원 조사·연구 등을 담당하는 국가기관입니다.- 무형유산 전시와 공연 체험교육 프로그램 등을 운영하고 있으며 전승자 지원 국내·외 교류협력 아카이브 기록화사업 등을 통해 무형문화유산을 체계적으로 보호·전승합니다. - 국립무형유산원은 국민 누구나 무형유산을 가까이에서 보고 느끼고 즐길 수 있는 ‘무형유산 복합문화  공간’입니다.
3.국립전주박물관, 전북 전주시 완산구  쑥고개로 249 (효자동2가) ,#전주#문화공간#관람시설, 063-223-5651, http://jeonju.museum.go.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/49bbb318-8852-4cb7-92fb-380976cf0872.jpg.png,국립전주박물관은 1990년에 개관한 이래 전라북도의 문화유산을 수집·보존하고 연구·전시·교육을 담당하고 있다. 다양한 주제의 전시를 기획하여 특별전과 학술 활동을 추진함으로써 전라북도의 역사와 문화를 심도있게 소개하고 있다.특히 조선의 선비문화로 특성화된 전시 등 학술활동을 중점 추진하고 있으며 부안 죽막동 제사유적 연구 후백제 역사복원 부안 유천리 청자 보존 등 전북의 중요한 연구 과제를 추진하여 지역 연구 발전에도 매진하고 있다. 또한 지역민들을 대상으로 박물관 활동에 참여할 수 있는 다양한 프로그램을 개발·운영하고 있다.전라북도 지역문화를 선도하는 중심 문화기관이다.
4.김치문화관, 전주시 완산구 어진길 29  ,#전주#문화공간#관람시설, 063-287-6300, http://www.jeonjukimchi.com, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/4ac4386c-6916-4446-9f44-c1b316531d92.jpg.png,사무국 : 명품김치산업화 사업 추진 운영 교육 접수 등다경루(한식교육관) : 김치 및 향토음식 전문강좌 주말 어린이 김치강좌 세미나 대관 등안채(김치체험관) : 계절김치아카데미 향토음식 체험 강좌 등김치전시관 : 김치관련 자료 교육컨텐츠 영상 상영 스토리텔링 등BUY전주상품 전시홍보관 : BUY전주 우수식품 상설 전시 홍보관 김치 시식관 등마당 : 김장축제 단체체험프로그램 버스킹 공연 등
5.동학혁명기념관, 전북 전주시 완산구   은행로 34 (풍남동 3가) ,#전주#문화공간#관람시설, 063-231-3219,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/6d0ce3d0-f985-47f8-89e0-281ca5599ae1.jpg.png,동학혁명 100주년 기념사업으로 숭고한 혁명정신을 기리기 위해 세워진 기념관으로 상설전시장과 기념관으로 구성돼 있다. [교통정보] 동부시장에서 남쪽방향으로(교대쪽) 약 350m 거리 전주시청에서 동부시장으로 도보로 20분(한옥마을 내)
6.리빙콘텐츠DIT센터,,#전주#문화공간#관람시설, 063-281-1559, http://www.ditcenter.co.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0141a97c-2126-40eb-adde-a18bace3d63e.jpg.png,리빙콘텐츠DIT센터는 언제든 누구나 무엇이든 만들 수 있는 메이커스페이스*로 생활 속 아이디어로 실용적인 생활용품을 함께 만들며 메이커 문화를 실천할 수 있는 일반인 누구나 함께 참여할 수 있는 참여형 콘텐츠 생산공간입니다.*메이커스페이스란 만들기에 필요한 도구를 갖춰놓은 장소로 반짝이는 내 아이디어를 시제품으로 만들어 볼 수 있고 관련 체험 프로그램을 통해 만드는 방법도 배울 수 있는 일반인 누구나 참여할 수 있는 장비와 도구가 갖춰진 공간입니다.□ 이용가능시간 : 월-금 10:00-2:00 토 10:00-17:00 / 매주 일요일 휴관□ 시설안내  o 교육실 : 교육 및 워크샵 공간  o 창의공작실 : 자유제작 실습공간  o 목업실 : 목업 장비 사용 공간  o 커뮤니티실 : 메이커들의 자유로운 교류 공간  o 전시실 : 멀티스페이스  o 라이프리빙실 : 메이커 멘토링 회의공간□ 이용요금  o 공간이용 : 5000원    - 창의공작실 커뮤니티실 기본손공구 이용 커피 무료   - 1회 1일 3시간 이내 ※장비 이용시 2000원  o 장비이용    - 3D 프린터 : 3000원   - 레이저가공기 : 18000원   - 재봉틀 : 3000원
7.우진문화공간, 전주시 덕진구 전주천동로  376 ,#전주#문화공간#관람시설, 063-272-7223,  http://woojin.or.kr/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f5f43f55-b698-4957-9144-98e32c29a68e.jpg.png,천변의 담쟁이 집 우진문화공간전주천변길을 따라 걷다보면 만나는 우진문화공간. 거친 노출콘크리트 외벽을 타고 올라가는 담쟁이의 푸르름이 한낮의 뙤약볕을 삼켜버리는 인상적인 이 건물은 전문 예술인의 창작활동을 돕는 공간입니다.  90년대 이후 도내에는 시민의 문화향유를 위한 문화시설은 크게 증가했으나 예술품 생산자들은 문화예술인의 창작활동을 돕는 시설은 답보상태였습니다. 우진문화재단은 문화예술에 대한 시민의 왕성한 욕구와 이에 부응하려는 문화예술인의 창작활동을 지원하기위한새 공간의 필요를 절감하였습니다. 13년간의 서노송동 시대를 마감하고 2004년 전주시 덕진구 진북동에 새 둥지를 튼 우진문화공간은 우진문화재단 문화사업 근거지이자 오랫동안 기다려온 전문 예술인들의 창작의 요람입니다.  문화예술인은 누구나 간단한 신청절차를 거쳐 시설을 편리하게 이용할 수 있습니다.- 시설규모 : 대지 1875.4M2 (568평)  연건평 3481.54M2 (1055평)- 개방시간 : 오전 10시 ~ 밤 10시 매주 월요일 휴관
8.전라북도 교육문화회관, 전북 전주시 덕진구 안덕원로 71  진북동 ,#전주#문화공간#관람시설, 063-270-1601, http://www.jec.go.kr/, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c4939d41-7d5d-4992-b3a5-9c03476b8f30.jpg.png,○ 설치자/운영자 : 전라북도교육청/전라북도교육청 ○ 규모 : 연면적  5943㎡(1801) 지상 3층 지하 1층 ○ 개관연도 : 1983 ○ 기능별 면적 및 객석수     - 공연장 : 1503석     - 전시장 : 1594㎡(483평) ○ 주요시설 : 무대(조명) 음향 전시실 ○ 주요사업 : 일반전시 음악발표 연극공연 각종발표회 영화상영 등 ○ 교통편 : 전주역(서중로타리 방면 버스 승차 흥국생명앞 하차 도보 4분거리) 
9.전북대학교 삼성문화회관, 전북 전주시 덕진구 권삼득로 290 (금암동)  ,#전주#문화공간#관람시설, 063-270-2089, http://cnucc.chonbuk.ac.kr, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/63360005-4bbd-4caf-896a-c31bf2e9d1f9.jpg.png,종합문화예술 활동의 전당으로 최신 무대시설을 갖추어 순수문화예술과 대중예술 공연 전시를 만날 수 있는 공간이다. 2600평 규모의 전북 최고시설을 갖춘 문화행사공연장으로써 내부 소렌토레스토랑 밖으로는 들꽃이란 화원이 갖춰져 있어 전주시민의 휴식공간 으로 각광을 받고 있다. 공연장과 전시장으로 이루어진 학생회관은 연면적 5943평방미터의 지상3층 지하1층의 규모로 전라북도교육청에서 운영하는 학생들의 문화터전으로 유치원아동들의 학예회에서부터 어른에 이르기까지 다양한 문화행사가 펼쳐지는 곳이다.
10.전북예술회관, 전북 전주시 완산구  팔달로 161 (경원동1가) ,#전주#문화공간#관람시설, 063-284-4445,, ,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/bfdf1be3-7f1b-4d70-aede-14ff5fea7e82.jpg.png,도내문화예술활동의 전당으로 각종 전시와 공연을 할 수 있는 공간을 제공하고 있다. 
