인덱스,이름,주소,태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
1,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 성산리 1,#일출#오름#경관#포토#부모,064-783-0959,,10월~2월: 07:30~19:00 (매표 마감 17:50) / 3월~9월: 07:00~20:00 (매표 마감 19:00),https://api.visitjeju.net/photomng/imgpath/201810/17/c072ee1a-2a02-4be7-b0cd-62f4daf2f847.gif,일반 : 2.000원 / 장애인 : 무료 (1-3급 동반 1인까지). test,,​성산일출봉은 제주도의 다른 오름들과는 달리 마그마가 물속에서 분출하면서 만들어진 수성화산체다.화산활동시 분출된 뜨거운 마그마가 차가운 바닷물과 만나면서 화산재가 습기를 많이 머금어 끈끈한 성질을 띄게 되었고이것이 층을 이루면서 쌓인 것이 성산일출봉이다.바다 근처의 퇴적층은 파도와 해류에 의해 침식되면서 지금처럼 경사가 가파른 모습을 띄게 되었다.생성 당시엔 제주 본토와 떨어진 섬이었는데 주변에 모래와 자갈등이 쌓이면서 간조 때면 본토와 이어지는 길이 생겼고​​​​​​​1940년엔 이곳에 도로가 생기면서 현재는 육지와 완벽하게 연결되어 있다.​정상에 오르면 너비가 8만여 평에 이르는 분화구를 볼 수 있는데 그릇처럼 오목한 형태로 안에는 억새 등의 풀이 자라고 있다.분화구 둘레에는 99개의 고만고만한 봉우리(암석)이 자리하고 있다.이 모습이 거대한 성과 같다고 해서 성산(城山) 해가 뜨는 모습이 장관이라 하여 일출봉(日出峰)이라는 이름이 붙었다.전설에 의하면성산일출봉의 봉오리가 100이었다면 제주에도 호랑이.사자 같은 맹수가 날 것인데​​​​​​​하나가 모자라 아흔 아홉이기 때문에 호랑이도 사자도 아니 난다고 한다.​성산일출봉에는 제주의 아픈역사도 간직하고 있다. 1943년에는 일본군이 이곳을 요새화 하기 위해 일출봉 해안절벽에 24개의 굴을 팠다.굴속에 폭탄과 어뢰등을 감춰두고 일전에 대비했지만 제대로 사용하지 못하고 패전하였다.이 굴은 이후 잠녀의 탈의장으로 사용되기도 했다.​​​​​​​성산일출봉과 본토를 잇는 길목은 간조때 길이 터진다 하면 터진목이라 불렀는데이곳과 일출봉의 우뭇개 일대에서 4·3항쟁 당시 많은 민간인이 토벌대에 의해 목숨을 잃었다.​성산일출봉 정상에 이르는 가파른 계단 길은 숨이 가쁘나 넉넉히 20분이면 꼭대기에 다다른다.정상에서는 너른 분화구와 그 뒤로 펼쳐지는 바다의 풍경은 제주의
2,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산137-1,#숲길#걷기#등산#친구#커플#흐림#봄,064-900-8800,,09:00~17:00 (17:00 까지 퇴장) / 우천 및 폭설 시 통행 제한 있을 수 있으므로 방문 전 유선 확인 필요,https://api.visitjeju.net/photomng/imgpath/201804/30/552458b3-55a3-4589-b2e7-d8f29d1ca277.jpg,,,​​​​​​​​​​​​​​​사려니숲길은 제주의 숨은 비경 31곳 중 하나로 비자림로를 시작으로 물찻오름과 사려니 오름을 거쳐가는 삼나무가 우거진 숲길이다.사려니오름까지 이어지는 숲길이기 때문에 사려니숲길이라고 불린다.‘사려니’는 ‘신성한 숲’ 혹은 ‘실 따위를 흩어지지 않게 동그랗게 포개어 감다’라는 뜻으로 숲길을 거닐면 상쾌한 삼나무 향에 포개진 듯한 느낌을 받을 수 있다.빽빽한 삼나무뿐만 아니라 졸참나무 서어나무 때죽나무 편백나무 등 다양한 수종이 서식하고 있다.다양한 수종이 서식하기 때문에 오소리와 제주족제비를 비롯한 포유류 팔색조와 참매를 비롯한 조류 쇠살모사를 비롯한 파충류 등의 보금자리가 되기도 한다.​​​​​​​​​​​​​​​​​사려니숲길은 본래 숲의 모습이 많이 훼손되지 않아 트래킹을 좋아하는 여행자들이 즐겨 찾는다.지난 2002년 유네스코가 지정한 제주 생물권 보전지역(Biosphere Resev)이기도 하다.숲보호를 위해 자연휴식년제로 물찻오름은 탐방을 제한했었으나 한시적으로 이곳을 개방하는 &lt사려니숲 에코힐링(Eco-Healing)&gt 행사가 열리기도 했다.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​사려니숲길을 걷다가 위를 올려다보면 하늘을 향해 시원하게 쭉쭉 뻗은 삼나무가 그늘을 만들어주고 그 사이로 햇살이 비춘다.여름에는 제아무리 무더운 날에도 숲길 사이로 부는 시원한 바람을 느낄 수 있다.제주에서 청정한 공기를 마시며 몸과 마음을 치유받고 싶다면 방문하기 좋다.붉은 화산송이 길과 빼곡한 삼나무 숲길을 만끽하고 싶다면 사려니 입출구보다는 붉은오름 입출구 쪽으로 가야 한다.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​□ 사려니숲길 경유 대중교통 현황○ 8월 이전 - 시티투어버스(1일 8회) - 시외버
3,우도(해양도립공원),제주특별자치도 제주시 우도면 연평리 904-1,#섬속의섬#경관#포토#아이#맑음,064-782-5671,,우도 외부차량(렌터카 전세버스) 통행 제한( ~2019. 7. 31)자세한 사항은 www.jeju.go.kr 에서 확인,https://api.visitjeju.net/photomng/imgpath/201804/30/dd51e08a-a970-466a-972e-f47f405ca644.jpg,일반 입장료 : 1.000원 / 장애인 무료 (선박료 별도),,​우도는 소가 누워있는 모양을 닮았다고 해서 일찍부터 소섬 또는 쉐섬으로 불리웠다.완만한 경사와 옥토 풍부한 어장 우도팔경 등 천혜의 자연조건을 갖춘 관광지로써 매년 4050만 명의 관광객이 찾는 제주의 대표적인 부속섬이다.성산항과 종달항에서 우도가는 배를 탈 수 있는데 어디서 출발하든 15분 정도 소요된다.섬의 길이는 3.8km 둘레는 17km. 쉬지 않고 걸으면 3~4시간 걸리는 거리지만대부분의 관광객은 버스나 자전거 미니 전기차를 타고 유명한 관광지 위주로 돌아본다.검멀레해변이나 우도봉 홍조단괴해변 하고수동해변 등 유명한 관광지 1-2개를 둘러보고카페나 음식점에서 휴식을 즐겨도 대략 3-4시간 정도 소요된다.여유있게 우도를 즐기고 싶다면 오전 아침배를 타고 들어가 오후 배를 타고 나와 하루종일 우도에 머물러 보는것도 좋다.단 기상에 따라 배 운항여부가 달라질수 있으니 우도 여행일정을 짜는데는 기상조건을 필히 확인해야한다.​​우도를 찾는 관광객은 홍조단괴해변 우도봉 검멀레 해변을 주로 찾는다.홍조단괴해변은 산호해변으로도 불렸는데백사장을 이룬 하얀 알갱이가 산호가 아닌 홍조류가 딱딱하게 굳어 알갱이처럼 부서지면서 만들어진 것이 밝혀지면서 홍조단괴해변으로 부르며홍조류로 이뤄진 백사장은 세계에서 드물어 보호하고 있다.너른 백사장과 아름다운 바다색으로 유명한 하고수동해수욕장도 있다.경사가 완만한 천진동 코스와 경치가 멋진검멀레 해안코스가 있으며 우도봉에 올라 우도의 전경을 바라볼 수도 있다.​​​​​​​자연 절경 이외에도 바다낚시 자전거 하이킹 잠수함과 유람선 등을 통해 여행의 재미를 더하고 있다.​​​​​​​​​​
4,협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447,#일몰#해수욕장#액티비티#아이#맑음#여름,064-728-3394,,협재 종합상황실: 064-728-3981(해수욕장 개장기간 2018.06.23~09.02 동안 운영),https://api.visitjeju.net/photomng/imgpath/201804/30/1884a0df-e6cf-4e67-9a18-5e1b6169cff0.jpg,,,​제주도 서쪽에 가볼만한 해수욕장을 꼽으라 하면 단연 12위로 꼽아 추천하는 곳이 협재해수욕장이다.제주시 한림읍에 자리하며 제주올레 14코스의 일부다.금능해수욕장과 이웃하고 있는 쌍둥이해수욕장이기도 하다.투명한 물에 에메랄드빛 물감을 서서히 풀어놓은 듯한 바다빛은 보는 것만으로도 힐링이 된다.썰물 때면 조개껍질이 많이 섞인 은모래빛 백사장이 끝없이 이어진다.​​​​​​​​​​​​​​​바다 앞에는 어린 왕자 속 보아뱀을 삼킨 코끼리 그림 모양의 ‘비양도’가 있다.비양도와 바다 위로 떨어지는 석양은 이곳에서 놓칠 수 없는 또 하나의 장관이다.여름에는 야간개장도 하니 야자나무 아래에서 제주도 푸른 밤을 만끽할 수 있다.​​​​​​​협재해수욕장은 경사가 완만해 수심이 얕고 소나무 숲도 있어서 어린이가 있는 가족 단위 여행객의 휴가지로 좋다.주위에는 다양한 카페와 맛집 숙소들이 있고 주변 관광지로는 한림공원 금능해수욕장 금능석물원 월령선인장자생지 등이 있다.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
5,카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271,#경관#포토#커플#아이#맑음#겨울#우수관광사업체,064-792-0088,,마감은 계절마다 다름,https://api.visitjeju.net/photomng/imgpath/201804/30/f7325127-292d-4e8f-a665-a44d7a46acd2.jpg,성인 8.000원 / 청소년 6.000원 / 어린이 장애인 5.000원,,​카멜리아힐은 동양에서 가장 규모가 큰 동백수목원으로80개국의 동백나무 500여 종 6000여 그루가 울창한 숲을 이루고 있다. 또한 향기가 나는 동백 8종 중 6종을 보유하고 있어 동백의 향기를 가득 안을 수 있다.다양한 종류의 동백들 외에도 다채로운 여러 가지 빛깔의 꽃들이 펼쳐져 있어 보는 즐거움을 주며형형색색의 아름다운 꽃들은 그 향기 또한 다양하여 내딛는 발걸음마다 은은하고 산뜻한 향을 선사해준다.봄에는 아름다운 튤립이 다양한 색채를 뽐내며 피어있고 4월 즈음에는 벚꽃이 만개한다. 여름에는 수국길에 수국이 가득 피어난다. 가을이면 야생화가 아름답게 피어나고 겨울에는 활짝 핀 동백이 그 향기와 색채를 뽐낸다.​​​​​​​​​​​​​​​​​다양한 식물들이 예쁜 풍경을 이루고 있어 이를 간직하고자 하는 여행객들의 카메라는 쉴 틈이 없다. 곳곳에 비치되어 있는 사진 찍기 좋은 소품들과 함께 카멜리아힐에 있는 자연을 배경으로 삼아 한 폭의 그림과도 같은 풍경의 일부가 되어 그 순간을 사진으로 남긴다. 다양한 생각을 하게 해주고 여유를 가지게 해주는 예쁜 글귀가 적혀있는 가랜드와 팻말은 사진 소품이 되어주면서도 동시에 지친 마음을 위로해주어 카멜리아힐에서의 산책을 더욱 매력있게 만들어준다.​​​​​​​​​​​​​​​​​​​​​​​
6,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,#산#걷기#등산#경관#포토#친구#사계절,064-713-9950,,계절과 기후변화에 따른 입산 통제구간은 홈페이지 참고,https://api.visitjeju.net/photomng/imgpath/201804/30/661b71dc-cdec-4eee-8ad4-240285460226.jpg,주차료 있음,,​지리산 북한의 금강산과 함께 한반도의 3대 영산에 속하는 한라산은 한반도의 최남단에 위치하고 있으며 높이 해발 1950m로 남한에서 가장 높다.다양한 식생 분포를 이뤄 학술적 가치가 매우 높고 동식물의 보고로서 1966년 10월 12일 천연기념물 제182호인 한라산천연보호구역으로 지정보호되고 있다.1970년 3월 24일 국립공원으로 지정되었고 2002년 12월에는 UNESCO 생물권 보전지역으로 지정되었다.신생대 제4기의 젊은 화산섬인 한라산은 지금으로부터 2만 5천년 전까지 화산분화 활동을 하였으며 한라산 주변에는 360여 개의 오름들이 분포되어 있어 특이한 경관을 창출하고 있다. 섬 중앙에 우뚝 솟은 한라산의 웅장한 자태는 자애로우면서도 강인한 기상을 가슴에 품고 있는 듯하다.​​천자만홍에 덮인 가을의 만산홍엽은 빼놓을 수 없는 경관이며 유독 눈 속에 잠긴 설경의 한라는 절경 중의 절경으로 꼽힌다.철 따라 어김없이 바뀌는 형형색색의 자연경관은 찾는 이로 하여금 절로 탄성을 자아내게 한다.태고의 신비를 그대로 간직한 한라산과 아름다운 땅 제주는 신이 우리에게 선물한 최고의 보물이자 세계인이 함께 가꾸어야 할 소중한 유산으로 인정받아 2007년 6월 27일 제주 화산섬과 용암동굴이 우리나라 최초의 유네스코 세계자연유산으로 등재되었고 2010년 10월 4일 세계지질공원으로 인증받았다.​​​[ 등산코스 안내 ]​※ 청정 한라산 보전을 위해 일회용 도시락 반입 금지(김밥 햄버거는 허용)한라산 등산 코스는 총 5개 코스로 이루어져 있다. 현재 정상부인 백록담 등반은 성판악~관음사코스로만 등반이 가능하며 영실 어리목 돈내코에서 등반할 수 있는 백록담 남벽 코스는 현재낙석으로인한 사고위험으로 통제되어있다.전설옛날 옛적에 몸집이 아주 큰 설문대 할망이 있었다. 설문대 할망은 힘 또한 장사였는데 어느 날 치마폭에 흙을 가득 퍼 날라다 넓디넓은 푸른 바다 
7,월정리해변,제주특별자치도 제주시 구좌읍 월정리 33,#해변#경관#포토#커플#여름,064-728-3394,,,https://api.visitjeju.net/photomng/imgpath/201804/30/ec362343-4c4b-4da2-905d-1d4be8b26d44.jpg,,,​제주도의 동쪽에 위치하고 있는 마을인 월정리는 달이 머문다는 뜻의 이름을 가진 서정적인 풍경의 마을이다. 아름다운 에메랄드빛 바다가 한 폭의 그림처럼 펼쳐져 있고 그 위에는 밝은 달이 비친다. 풍경화처럼 아름다운 월정리 해변을 방문한 여행객들은 저마다 다양한 방법으로 해변의 경치를 만끽한다. 특히 수심이 얕은 편이기 때문에 아이를 동반한 가족들이 물놀이를 즐기기 좋다.​​​​​​​​​​​​​​​​​​​​​​월정리의 아름다운 풍광이 여행객들 사이에서 점점 유명해질수록 월정리의 해변을 방문하는 사람들이 더욱 늘어났고 그에 맞춰 다양한 식당과 카페 숙박시설 등이 많이 들어서 있다. 몇몇 카페는 사람들이 바다를 보며 쉬어갈 수 있도록 의자를 두었는데 이 의자에 앉아 찍은 사진이 유명해 지면서 하나의 포토스팟이 되기도 했다. 월정리엔 카메라를 들고 제주도 여행의 추억을 담는 사람들의 모습을 쉽게 볼 수 있다.그 밖에 서핑 스노클링 카약 등 다양한 수상레포츠를 즐기며 보다 더 역동적으로 해변에서의 즐거움을 만끽하는 사람들도 있다. 월정리 해변은 일정한 높이의 파도가 지속적으로 들어오기 때문에 서핑을 하기에 좋아 서퍼들이 즐겨찾는다. 제주도 올레길 20코스 김녕-하도 올레와 ‘김녕-월정 지질트레일 코스’의 일부여서 뚜벅이 여행객들이 걷다가 바다의 아름다운 풍경과 시원한 바다 내음을 맡으며 쉴수 있는 아름다운 해변이다.​​​​​​​​​​​​​​​​​​
8,섭지코지,제주특별자치도 서귀포시 성산읍 고성리 62-5,#일출#해변#경관#포토#커플#맑음#가을,064-740-6000,,연중무휴,https://api.visitjeju.net/photomng/imgpath/201804/30/46437f2d-5fe9-4360-9c4b-5535cd8ef160.jpg,입장료 무료 / 주차료 : 장애인 (500원),,​​​​​​​​제주 동부해안에 볼록 튀어나온 섭지코지는 성산 일출봉을 배경으로한 해안풍경이 일품이다. 들머리의 신양해변백사장 끝머리 언덕위 평원에 드리워진 유채밭 여유롭게 풀을 뜯는 제주조랑말들 바위로 둘러친 해안절벽과 우뚝 치솟은 전설어린 선바위 등은전형적인 제주의 아름다움을 만날 수 있다.​​​​​​​특히 제주의 다른 해안과는 달리 송이라는 붉은 화산재로 되어 있고 ​​​​​​​밀물과 썰물에 따라 물속에 잠겼다가 일어서는 기암괴석들은 어디에서도 볼 수 없는 자연의 수석전시회를 연출한다.​​​​​​​​​​​​​​​​​​​​​섭지코지의 섭지란 재사(才士)가 많이 배출되는 지세라는 뜻이며 코지는 육지에서 바다로 톡 튀어나온 곶을 뜻하는 제주방언이다.역사나 과학의 배경지식을 갖고 보면 섭지코지를 더욱 풍부하게 관망할 수 있는데 먼저 화산송이 언덕 등대 근처에선 조선시대 왜구의 침입을 알리던 봉수대를 볼 수 있다. 높이 4m 가로세로 길이 약 9m의 봉수대는 그 모양이 거의 원형에 가깝게 보존되어 있어 이를 사용해야 했을 조선시대의 위급상황을 떠올려보며 역사의 발자취를 떠올려 볼 수 있다.과학적인 시각에서 보면 화산폭발시 마그마가 분출되던 분화구의 중심부를 관찰 할 수 있는 훌륭한 자연학습의 장이기도 하다. 섭지코지는 바로 이 화도에서 분출된 스코리아(분석)가 쌓인 것이며 선돌바위는 그 화도에 있던 마그마가 굳어져 형성된 암경(volcanic neck)으로 ​​​​​​​섭지코지에서는 스코리아와 암겸 관찰을 통해 화산폭발시 육지의 형성과정을 간접적으로 상상해볼수 있다.​반면 선돌바위에는 아래와 같은 슬픈 전설도 전해내려온다.하늘에서 내려온 선녀에게 반한 동해 용왕신의 막내 아들은 100일 정성이 부족하여 선녀와의 혼인을 이루지 못하게 되었다. 슬픔에 빠진 그는 하늘에서 선녀가 내려와 주기만을 기다리고 기다리다 그 자리에 선채로 돌
9,제주4·3평화공원,제주특별자치도 제주시 봉개동 237-2,#실내#문화유적지#커플#흐림#봄,064-723-4344,,매월 첫째 셋째 월요일 휴관 / 입장마감 17시,https://api.visitjeju.net/photomng/imgpath/201804/30/f9a5912b-edf2-474b-b5fe-8cd0286c9c09.jpg,,,​​제주시 봉개동에 위치한 제주 4.3 평화공원은 4.3 사건 당시의 희생자들을 기리기 위한 공간이다. 공원 안에는 제주 4.3 평화기념관 위령제단 위령탑 봉안관 등이 이곳을 지키고 있다. 위령제단은 연중 4.3 희생자에 대해 참배를 진행하는 곳이며 그들을 모시고 있는 위패봉안실이 따로 마련되어있다. 봉안관은 4.3 유해발굴사업시기에 발굴된 396기의 유해 봉안이 있는데 각 비원에는 희생자의 성명과 성별 당시 연령 등을 기록해 두었다.​제4.3 평화기념관에는 총 6개의 특별 전시관이 있다. 제1관에서는 주민들의 피신처로 활용되었다는 천연동굴을 주제로 한 역사관이 있으며 제2관에서는 해방과 좌절이라는 주제로 해방 후 3.1절 기념행사에서 사망한 6명의 민간인의 이야기를 담아내고 있다. 제3관에서는 무장봉기와 분단 거부라는 주제로 1948년 4월 3일에 일어난 무장봉기에 대한 이야기가 있고 제4관에서는 학살에 관한 내용을 다루고 있다. ​​​​​​마지막으로 5관과 6관에서는 진상 규명 운동으로 상처를 극복해내는 과정과 관람 후의 소감문이 걸려 있다.​​​​​​​​​​
10,오설록티뮤지엄,서귀포시 안덕면 신화역사로 15,#녹차#테마공원#커플#아이#겨울,064-794-5312,,연중무류,https://api.visitjeju.net/photomng/imgpath/201804/30/f6013428-bfe1-455b-9f7f-73a5e6f5221c.jpg,,,​2001년 9월 개관한 오설록티뮤지엄은 국내외 차 관련 물품과 박물관이며 푸른 녹차밭이 펼쳐지는 제주도 서광다원 입구에 위치하고 있다.동서양 전통과 현대가 조화를 이룬 문화의 공간이자 자연 친화적인 휴식공간으로 건물 전체가 녹차잔을 형상화하여 만들어졌다.녹차와 한국 전통 차문화를 이해할 수 있는 학습공간으로 설록차의 모든 것을 체험해 볼수 있는 곳이다.​​​​​​​​​​​​​​​​​오설록의 ‘오’는 경쾌한 감탄의 의미와 함께 origin of sulloc only sulloc of sulloc cha의 의미를 가지고 있다. ​​​​실내에 가득한 녹차향과 통유리 너머로 보이는푸른 녹차밭이 마음을 편하게 만들어줘 제주를 찾는 많은 관광객이 한번쯤은 들르는 명소가 되었다.티 하우스에서는 티 마스터가 직접 볶은 따뜻한 차와 오설록 녹차로 만든 음료 아이스크림 롤케익크 등을 즐길 수 있다. 특히 진한 녹색의 그린티 롤케익크은 많이 달지 않아 어른들에게도 환영을 받는다.​​​​​​​​​​
