인덱스,이름,주소,#태그,전화번호,홈페이지,운영시간/휴무일,이미지,소개
1,화진해수욕장(바다),경상북도 포항시 북구 송라면 지경리 409,#포항여행#모래사장#가족여행#여름피서지#여름여행,054) 243-6001 송라면주민센터 (해수욕장),http://phtour.pohang.go.kr/phtour,,,포항시내에서 북쪽으로 20km 가량 떨어진 해수욕장이다. 백사장 길이 400m 폭 100m 평균 수심 1.5m의 작은 곳이지만 나무가 많고 물이 맑으며 주위 경관이 좋아 가족과 함께 피서를 즐기기에 좋은 곳이다. 송라면 보경사 12폭포가 인근에 있다.
2,흥환간이해수욕장(바다),경상북도  포항시 남구 동해면,#포항여행#해안도로주변#드라이브하기좋은곳#가족여행#걷기좋은곳,동해면사무소 054-270-6645,http://phtour.pohang.go.kr/phtour,,,해안도로와 바로 접해 있어 드라이브로도 넓은 모래밭을 감상할 수 있는 흥환간이해수욕장은 구룡포로 가는 길목에 자리하고있는 해수욕장으로 비교적 조용하고 아늑한 편이다. 아직 일반인들에게 잘 알려지지 않았지만 포항 주변의 많은 해수욕객들이 즐겨 찾는다.
3,차유돔바위(바다),경상북도  영덕군 축산면 경정리,#영덕여행#물고기가떡밥물고퍼덕퍼덕#해안도로주변#드라이브하기좋은곳,문화관광과 054-730-6533,http://tour.yd.go.kr/,,,경북 영덕군 일대에는 유명한 낚시터들이 많고 그중에서 노물에서 경정 일대의 갯바위 구석구석은 낚시의 핵심 구간으로 잘 알려졌으며 동해안을 대표하는 감성돔 낚시터라고도 불릴 만큼 유명한 곳이다. 그러나 경정리에 있는 차유마을 일대의 갯바위는 아직 잘 알려지지 않은 낚시 포인트가 대부분이라 갯바위의 처음 모습 그대로 잘 보존되어 있다. 차유 마을에서 북쪽으로 걸어가면 나오는 첫 번째 갯바위가 바로 차유 돔바위이다. 유명한 여서도 돔바위와 통영 국도 돔바위와 견주어도 모자라지 않을 만큼 차유돔 바위에서는 50cm가 넘는 큰 감성돔이 많이 잡혀 낚시꾼들을 놀라게 한다. 차유돔바위 외에도 차유 마을 일대의 다른 갯바위 곳곳에서도 감성돔이 많이 잡힌다. 비교적 잘 알려지지 않은 곳이라 붐비지 않아 한산하고 편안하게 낚시를 즐길 수 있는 것이 장점이다.
4,감포항(바다),경상북도 경주시 감포읍 감포리,#경주여행#걷기좋은곳#옛날옛적에어떻게살았을까#힐링여행#자갈해변#일출보기좋은곳#솟아라태양아#문무대왕릉주변#도보여행#나혼자떠나는여행,(감포읍 사무소) 054-779-8003 (경주역 관광안내소) 054-772-3843,http://guide.gyeongju.go.kr/deploy/,,,규모가 아기자기하면서도 멋진 등대가 우뚝 솟아있는 감포항은 드나드는 어선이 많은 동해남부의 중심 어항이다. 감포항 방파제는 동해 일출을 감상하기에 좋은 포인트로 예전부터 널리 알려져 왔다.
5,독도(바다),경상북도 울릉군 울릉읍 독도리,#독도는우리땅#한국관광100선,독도관리사무소 054-790-6642 6646,http://www.dokdo.go.kr/pages/main/,,,울릉도는 독도를 포함해 주변에 43개의 섬을 품고 있다. 그 중에 사람이 사는 곳은 독도를 포함해 3곳이다.
6,죽도(바다),경상북도 울릉군 울릉읍 죽도길 59-9,#유채꽃나들이,054) 790-6454 (죽도공원관리소),http://www.ulleung.go.kr/tour/,,,면적은 20만 7818㎡ 해발고도는 116m이다. 섬 둘레를 따라 도는 산책로는 약 4㎞ 길이이다. 울릉도 부속섬 44개(유인도 4 무인도 40) 중 가장 큰 섬으로 대나무가 많이 자생하여 대섬·대나무섬·댓섬이라고도 한다.
7,관음도(바다),경상북도 울릉군 북면 울릉순환로 3639,#울릉가볼만한곳#1박2일촬영지#관음도#주상절리#한폭의그림#한폭의 그림#사진찍기좋은곳,054-791-6022 ,http://www.ulleung.go.kr/tour/,,,관음도는 저멀리 전설을 간직한 삼선암과 동해바다 청정지역의 맑은 바다와의 어울림이 한폭의 그림처럼 펼쳐지는 곳
8,나정고운모래해변(바다),경상북도 경주시 감포읍 동해안로 1915,#경주여행#온천여행#익사이팅경북#1박2일여행#모래사장#가족여행#애들이랑갈만한곳,054) 779-6324 (경주시청 해양수산과) 054) 772-3843 (경주역 관광안내소),http://guide.gyeongju.go.kr/deploy/,,,넓은 백사장의 잔잔한 모래와 동해의 청정해역 여유있는 주변 공간과 인근의 갖은 편의시설이 있고 동해의 바닷물을 이용하여  온천을 즐길 수 있는 해수탕이 있어 새로운 체험을 할 수 있고 해수탕 옆은 주차공간과 송림이 개방되어 있다. 또한 모터보트 바나나보트 등 수상 레저를 즐길 수 있다.  
9,안동 풍산 풍계리 코스모스길(하이킹),경상북도 안동시 풍산읍 풍산태사로 2119,#안동데이트#가족여행# 입추 #출사지추천#나만 아는 명소,054) 858-6891 (풍산 읍사무소),http://www.tourandong.com,,,도로변 주차 가능가까운 곳에 펜션과 중식당이 있음코스모스길 가운데를 낙동강 자전거길이 통과
10,천주교신나무골성지 (하이킹),경상북도 칠곡군 지천면 연화리 산 57-9,#칠곡관광#칠곡가볼만한곳#칠곡여행,054-972-2014,http://www.chilgok.go.kr/tour/main/,,,연화리 피정의 집에서 차로 약 5분 거리에 있다.1815년 조선 후기 천주교 박해를 피해 신자들이 살던 신자촌이다. 신나무 골은 임진왜란 때에도 피난처였으며 서울과 경기도 충청도 등 각지에서 사람들이 모여 살았다. 현재 이 마을은 교우들이 대를 이어 계속 살고 있다. 묘소 참배 순서는 순교자 성가 - 깊은 절 2번 - 사도신경 주의기도 영광송 순으로 이어진다. 신나무골 성지는 약 43km의 가실성당~신나무골 성지~금락정~가산산성~한티성당으로 이어지는 ‘한티가는 길’ 코스의 한 부분이기도 하다. 
11,관호산성 둘레길(하이킹),경상북도 칠곡군 약목면 관호2리 산 17번지 일원,#칠곡가볼만한곳,054) 979-6682,http://tour.chilgok.go.kr,,,관호산성 둘레길은 남녀노소 누구나 편안하게 이용할 수 있는 걷기 좋은 길이다.낙동강의 호젓한 풍경을 벗 삼아 뚜벅뚜벅 걷기에 그만이다. 혼자 걸어도 좋고 여럿이 걸으면 더욱 좋다. 갑갑한 일상에서 벗어나 ‘쉬엄쉬엄’ ‘뚜벅뚜벅’걸을 수 있는 여유만 있으면 된다.
12,천수누림길(하이킹),경상북도 영천시 화북면 송림길 66-1 천수누림길,#영천가볼만한곳#산책하기좋은곳,054) 330-6538 (영천시청 문화재과),http://www.yc.go.kr/tour,,,천수누림길은 보현산 정상인 시루봉과 천문대 일원에 건립한 탐방로이다. 천수를 누릴 수 있는 하늘길이라 하여 천수누림길이라 한다. 천수누림길은 지역 건강 코스로는 가장 높은 곳에 있으며 산림 훼손 없이 친환경적으로 조성된 산책로로 총 길이는 약 1㎞이다.
13,파도소리길(하이킹),경상북도 경주시 양남면 동해안로 445 파도소리길,#사진찍기좋은곳#산책하기좋은곳#경주가볼만한곳,054) 779-8171 (양남 면사무소) 054) 772-3843 (경주역 관광안내소),http://guide.gyeongju.go.kr/deploy/,,,경주 양남면에 있는 주상절리는 더욱 특이하고 희귀한 형태로 수직 방향이 아닌 수평 방향 부채꼴 모양으로 천연기념물 536호로 지정될 만큼 인상적인 관광지입니다.이런 주상절리는 수억 년 전 용암이 분출되어 냉각을 거치면서 형성되고 발달한 형태로 화산암의 일종이라 한다. 지금은 이곳 주상절리가 있는 해안가는 파도소리길 로 조성되어 한결 산책로와 포토존 등 잘 정돈되어 여름 바닷가를 찾는 피서객에게 더없이 좋은 여행지로 발전하고 있습니다. 
