인덱스,이름,주소,#태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
1,등선폭포,강원도 춘천시 서면 경춘로,#강원도#춘천#관광지#폭포,033-262-2215,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AU0003_I_01.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,100대 주차 가능경형 1000원 / 소형 2000 / 대형 4000원,등선폭포는 선녀와 나무꾼의 전설이 있는 선녀탕과 기암괴석의 절벽으로 훌륭한 경치를 이루고 있으며 폭포의 시원한 물줄기는 한여름에도 서늘하다. 때문에 여름에도 관광객들에게 인기가 많은 곳이다. 서울에서 북쪽으로 80km 춘천에서 남서쪽으로 10km 떨어져 있다.
2,구곡폭포,강원도 춘천시 남산면 강촌구곡길 254,#강원도#춘천#관광지#폭포,033-250-3569,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AU0001_I_01.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,200대 주차 가능경형 1000원 / 소형중형 2000원 / 대형 4000원,아홉 구비 돌아 떨어지는 구곡폭포가 있어 더욱 아름답다는 강촌 강촌역에서 약 1시간정도 걷다보면 폭포입구인 매표소에 도착한다. 15분정도 더 오르면 돌탑과 아홉 개의 구비를 돌아보는 구곡정이 있으며 47m 높이에서 떨어지는 하얀 물줄기가 장관을 이루는 구곡폭포에 이르게 된다. 특히 겨울철에는 떨어지는 폭포가 그대로 빙벽으로 변해 빙벽 등반인들이 찾는 관광명소이다.
3,강촌랜드,강원도 춘천시 남산면 강촌로 88,#강원도#춘천#관광지#테마파크,033-261-4544,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AT0012_I_01.JPG&w=454&h=242,무료,없음없음,구 강촌역과 현 강촌역의 중간쯤에 위치하고 있으며바이킹 디스코 팡팡 허리케인 회전목마 범버카 유아용 놀이기구 등을 이용할 수 있다.
4,춘천 육림랜드,강원도 춘천시 영서로 2965,#강원도#춘천#관광지#테마파크,033-252-7225,http://www.yuklimland.com/,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AT0001_I_01.JPG&w=454&h=242,성인 3000~4000원 / 청소년어린이 2000~3000원,주차 가능무료주차,육림랜드는 춘천시 사농동에 있는 관광지로 1975년 5월 문을 연 춘천시민의 휴식공간이다. 육림랜드 안에는 자연학습 동물원과 놀이시설을 비롯하여 야외수영장 관광양어장 골프연습장 테니스장 등의 시설이 있다. 야외에는 풀장과 어린이 놀이시설이 설치되어 있다.
5,굴봉산 캠핑장,강원도 춘천시 백양리 252-1,#강원도#춘천#관광지#캠핑장,033-254-1190,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0001_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,강원도 춘천시 남산면 백양리에 가면 굴봉산 자락 아래에 위치한 굴봉산캠핑장을 볼 수 있다. 자연경관 속에 어우러진 카라반 텐트존 방갈로 등의 다양한 캠핑 시설은 캠핑장을 찾은 관광객들에게 편안한 휴식을 제공하고 동시에 소중한 사람들과 좋은 추억을 만들 수 있는 분위기를 만들어준다.
6,집다리골 자연휴양림,강원도 춘천시 화악지암 1길 129,#강원도#춘천#관광지#자연휴양림,033-243-1443,http://집다리골.kr/main.jsp,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0003_I_08.JPG&w=454&h=242,성인 1500~2000원 / 청소년군인 1000~1500원 / 어린이 700~1000원,주차 가능경차 1500~2500원 / 소형 2000~3000원 / 중형 3000~4000원 / 대형 4000~5000원,강원도 춘천시 사북면 지암리에 위치한 집다리골은 국내 휴양림의 대명사격이다. 휴양림 입구에서 우회전하여 13㎞ 정도 더 가면 휴양림 매표소가 나온다. 수려한 계곡이 산책로를 따라 이어져 산중의 맑은 물소리를 들으며 바람소리와 새소리를 벗 삼아 자연 속 트래킹을 즐길 수 있다는 것이 집다리골의 가장 큰 매력이다. 산으로 올라가는 도로 왼쪽에는 데크와 계곡이 위치하고 있으며 명상의 숲 동굴 등 자연을 체험 할 수 있는 곳들이 산책로 곳곳에 위치한다. 집다리골의 종합휴게소는 식당 매점 샤워실로 구성되어있으며 샤워실은 남녀공용으로 사용시간이 정해져있다. 자연학습 목공예 등 다양한 숲 체험 프로그램도 마련되어있어 아이들과 함께 방문하기에 최적인 휴양림이다.
7,강원숲체험장,강원도 춘천시 삿갓봉길102,#강원도#춘천#관광지#자연휴양림,033-243-5340,http://숲체험장.kr/main.jsp,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0001_I_01.JPG&w=454&h=242,성인 1500~2000원 /  청소년군인 1000~1500원 / 어린이 700~1000원,주차 가능경차 1500~2500원 / 소형 2000~3000원 / 중형 3000~4000원 / 대형 4000~5000원,강원도산림개발연구원에서는 운영하는 휴양시설 강원숲체험장(구 춘천수렵장)은 울창한 산 속에 위치한 산림휴양시설로서 가족 친구는 물론 기업체 연수 및 각종 세미나 등을 할 수 있는 숙박시설과 회의실이 있다. 유아들도 즐겁게 체험 할 수 있는 유아 숲 체험원도 있다.
8,강촌환경생태연못,강원도 춘천시 남산면 강촌리 447 일원,#강원도#춘천#관광지#자연생태,033-250-3331,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AN0076_I_04.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,주차 가능무료주차,강촌 환경 생태 연못을 가기 위해선 우선 강촌역으로 간다. 흐르는 강물을 따라 가다보면 얼마 지나지 않아 만날 수 있다. 큰 연못이 아니므로 강촌에 들렸을 때 겸사겸사 오면 된다. 걷는 이나 자전거를 탄 이들 모두 잠시 쉬어가기 좋은 곳이다. 정신없이 놀다 와서 쉬어가기 적당하다.
9,근화동 당간지주,강원도 춘천시 근화동 793-1,#강원도#춘천#관광지#유적,033-250-8305,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AM0061_I_11.JPG&w=454&h=242,무료,없음없음,근화동 당간지주는 보물 제 76호이다. 당간지주에서 당간이란 깃대 지주는 마주보는 돌이다. 즉 사찰의 행사나 위치를 알리기 위하여 불기 등을 게양하는 깃대의 일종이다. 돌은 화강암이며 높이는 352M이다. 또한 당간을 받치는 돌인 간대석이 보존되어 있는데 이것은 매우 드물다.
10,공지천유원지,강원도 춘천시 이디오피아길 25,#강원도#춘천#관광지#유원지,033-250-4312,http://tour.chuncheon.go.kr/tourinfo/sights/view/10421,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AL0002_I_01.JPG&w=454&h=242,없음,주차 가능없음,공지천은 강원도 춘천시 근화동에 위치한 유원지이다. 남녀노소 누구나 편안하게 놀러 갈 수 있다. 공원으로 이루어져 있으며 분수대를 비롯해 오리배를 탈 수 있는 보트장까지 볼거리와 즐길거리가 다양하다. 특히 야외공연장이 있어 상시 공연이 이루어진다. 호수로 둘러쌓여 있어 겨울을 제외한 3계절동안 중도와 의암호변의 경관을 감상하며 물놀이를 즐길수 있다. 특히 야경이 아름다워 저녁에 공지천 유원지를 찾는 사람들이 많다. 춘천 도심지에 있는 휴식과 문화의 공간으로 여유로운 호반의 풍경을 만끽할 수 있는 수변 산책로를 비롯해 조각공원 황금비늘(문학) 테마거리 분수대 야외공연장 레포츠시설 등이 있다.
11,삼악산,강원도 춘천시 서면 경춘로,#강원도#춘천#관광지#산,033-262-2215,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AI0008_I_02.JPG&w=454&h=242,성인 1400~1600원 / 청소년군인 800~1000원 / 어린이 400~600원,주차 가능경형 1000원 / 소형 2000 / 대형 4000원,춘천시 서면에 위치하고있는 삼악산은 소양강 의암호를 지나 북한강으로 흘러드는 푸른 강변을 끼고 남쪽의 검봉 봉화산과 마주하여 솟은 산이다. 주봉이 용화봉(645m) 청운봉(546m) 등선봉(632m) 셋이라해서 삼악산이라 하는데 악산 답게 제법 험하고 거칠다. 주말이면 산악인들과 춘천을 찾는 관광객들이 인산인해를 이루는 곳이다.
12,봉의산,강원도 춘천시 소양로 1가,#강원도#춘천#관광지#산,033-250-4312,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AI0006_I_05.JPG&w=454&h=242,무료,없음없음,상서로운 봉황이 나래를 펴고 위의를 갖춘 모습이하 하여 봉의산이라는 이름이 붙었다. 높이 301.5M로 시가지 북쪽에 자리잡고 있다. 춘천분지 한가운데 자리잡고 있으므로 조망이 좋고 정상 부근에는 체력단련 시설이 있어 시민들의 휴식처로 인기있다.
13,춘천미술관,강원도 춘천시 서부대성로 71,#강원도#춘천#관광지#미술관,033-241-1856,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0009_I_02.JPG&w=454&h=242,무료,20대 주차 가능무료주차,춘천미술관은 고풍스러운 옛 교회건물을 리모델링해서 사용하고 있는 미술관이다. 아름다운 춘천 미술관은 춘천시 옥천동의 랜드마크이며 매주 색다른 작가들의 전시를 볼 수 있다. 가까운 곳에 위치하고 있어 시민들이 쉽게 다가와 다양한 문화예술의 세계를 함께 관람할 수 있는 편안한 시민의 문화 휴식 공간이다.
14,소양강댐 물문화관,강원도 춘천시 신샘밭로 1128,#강원도#춘천#관광지#박물관,033-259-7334,http//blog.naver.com/kwatersyk,매주 월요일 설날 추석당일,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0006_I_10.JPG&w=454&h=242,무료,주차 가능무료주차,크고 작은 계곡을 따라 맑고 깨끗한 물이 중앙으로 흐르고 있다. 산림 수종도 다양하여  계절에 따라 녹음 단풍 설경 등 자연 경관이 수려할 뿐만 아니라 야생동물이 다양하게 서식하고 있다. 춘천시에 위치한 소양감댐 물문화관에서 강원도의 매력을 충분히 느낄 수 있다.
15,춘천내평전투 호국경찰추모상,강원도 춘천시 신북읍 천전리 15-4,#강원도#춘천#관광지#문화,033-250-3075,,연중개방,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0049_I_01.JPG&w=454&h=242,무료,주차 가능무료주차,625전쟁 첫 대승을 거둔 춘천지구 전투의 초석을 다진 고 노종해 경감 등 호국영웅 11인을 추모하는 동상이다. 옛 내평지서의 터(현 소양강 댐)를 바라보는 방향으로 약 3m 높이의 노 경감 동상이 세워졌다. 그리고 좌우로 10인에 대한 부조가 설치되어있다. 춘천시민의 숲에 있어 어린이를 위한 공간도 많고 각종 전시 및 휴식공간을 제공한다.
