인덱스,이름,주소,#태그,전화번호,홈페이지,운영시간/휴무일,이미지,입장료,주차시설,소개
1,The SPA in Garden 5더 스파 인 가든파이브,首尔特别市松坡区忠愍路 10서울특별시 송파구 문정동,##한국#관광지#관광명소#여행지,The SPA in Garden 5 +82-2-404-2700,http://www.spagarden5.co.kr,,http://tong.visitkorea.or.kr/cms/resource/57/2031357_image2_1.jpg,,,The SPA in Garden 5位于首尔文井洞的复合购物中心「Garden 5 」10楼，总面积达6600㎡的大规模SPA设施，内有利用整片玻璃打造的浴池与热疗室、并用意大利大理石打造出高级的室内装潢。热疗室包括2间汗蒸幕、异位性皮肤炎治疗房、活氧山林浴房、冰房、炭房、光盐房等7间热疗房。其中，汗蒸幕使用取自京畿道杨平的松树，以烧柴的传统方式加热；专为儿童设计的异位性皮肤炎治疗房则是采用具有杀菌功能的扁柏。附属设施中，VIP租借室需事先预约后使用，甜点区对面的阅读咖啡屋拥有一万多本图书，租借时需支付费用。在设有150寸大型荧幕的免费电影欣赏室中，则拥有40张可舒适卧趟的躺椅。
2,乐善斋낙선재,首尔特别市钟路区栗谷路99서울특별시 종로구 율곡로 99 (와룡동),##한국#관광지#관광명소#여행지,钟路区文化科 +82-2-2148-1826,,,http://tong.visitkorea.or.kr/cms/resource/93/1568293_image2_1.jpg,,,
3,首尔路 7017 서울로 7017,首尔特别市中区青坡路432서울특별시 중구 한강대로 405 (봉래동2가),##한국#관광지#관광명소#여행지,茶山话务中心120,seoullo7017.seoul.go.kr,,http://tong.visitkorea.or.kr/cms/resource/70/2495570_image2_1.jpg,,,1970年竣工，连接首尔站东西部的首尔站高架道路，因安全问题面临拆迁危机。而后为了给地区注入新活力，推动“首尔路7017”专案，活用既有的高架道路，让它以“步行桥”之姿重新诞生，使原本鼓励的首尔站一带得意连通。“首尔路7017”的名字 有着许多含义。既代表“1970年所建的高价道路于2017年重获新生”，也指“1970年代的车道，如今成为有着17条人行道，高17米的高架步行桥”。由名字也可以看出，首尔路7017肩负着以17条人行道把被切断的城市重新连起，并为发展停滞的地区带来活力的期待。而这里也设置了旅游咨询处、咖啡厅、木莲舞台、卧牛剧场、玫瑰舞台、跳跳游戏区等各式各样的体验于便利设施，是方便大家走累了随时休息或玩乐的空间。整座桥也是座魅力的空中花园，设有645个圆形花盆，植有228中、24085株花木。首尔路7017一年365天24小时全面开放，所有人都可在任何时间自由前往。若事先预约首尔徒步旅游行程，还可在专业的文化观光解说员带领下，一边听取导览，一边认识首尔站一带丰富的历史文化遗产与景点。
4,京义线书街경의선책거리,首尔特别市麻浦区卧牛山路35街 50-4서울특별시 마포구 와우산로35길 50-4 (동교동),##한국#관광지#관광명소#여행지,麻浦区厅观光科 82-2-3153-8650,www.mapo.go.kr,,http://tong.visitkorea.or.kr/cms/resource/25/2500225_image2_1.JPG,,,京义线书街是将18世纪后期，实行文治的正祖时代的册架图文化赋予现代化定义，为给市民提供一个读书的复合文化空间，在京义线废线地宏大，构建了一处读书的特色主题街。希望前来京义线书街的市民，可以通过阅读体会到健康生活的智慧之道，并分享传递于他人，实现自己的梦想。京义线书街与2016年10月份已建成并开始运营。周一(休息) : 营业准备 周二人文类书籍 : 人文学 以文学为中心的文化项目 周三艺术类书籍 : 与作者见面 设计 艺术 文化相关项目  周四旅行类书籍 : 以旅行信息为中心的相关项目 周五文学类书籍 : 以文学为中心的文化项目 周六儿童书籍: 儿童 家庭为中心的文化项目  周日主题书籍 : 朗读、诗歌咏颂 大众演讲   ※ 活动项目会根据情况有所调整 
5,足球主题博物馆풋볼 팬타지움 ,首尔特别市麻浦区世界杯路240(城山洞)(城山洞)서울특별시 마포구 월드컵로 240 (성산동),##한국#관광지#관광명소#여행지,足球主题博物馆 +82-2-305-2002,,,http://tong.visitkorea.or.kr/cms/resource/50/2488350_image2_1.jpg,,,‘足球主题博物馆’由韩国足球协会筹资建造，是韩国最初的 一家以足球为主题且融合IT技术的复合型足球主题公园。游客可以在此地观看展示，并可参与体验、教育、实践等多种项目。  - FAN : 韩国足球与粉丝见面的场所 - FANTASY : 通过足球梦想未来的场所 - MUSEUM : 与韩国足球历史产物见面的场所- STADIUM : 可以体验在模拟实际竞技场进行足球竞技的场所
6,SM town,首尔特别市江南区永东大路513（三成洞）서울특별시 강남구 영동대로 513 (삼성동),##한국#관광지#관광명소#여행지,SMTOWN：+82-2-6002-5811、5820、5838、5854,https://www.smtownland.com/,,http://tong.visitkorea.or.kr/cms/resource/59/2452559_image2_1.jpg,,,韩流明星的摇篮在韩流的中心──SMTOWN好好过一把艺人瘾。参观摄影棚、全息图影院和形象设计室等可以近距离了解明星诞生的过程。在SMTOWN内的每一分钟都将是激动的瞬间，因为不知什么时候，明星就会突然出现在面前。专业工作人员在摄影棚为您拍摄的照片也会成为难忘的回忆。
7,现代汽车品牌形象馆首尔店(현대 모터스튜디오 서울),首尔特别市江南区彦州路738（论岘洞）,##한국#관광지#관광명소#여행지,1330韩国旅游咨询热线（韩英日中）现代汽车品牌形象馆: +82-2-542-3322,http://motorstudio.hyundai.com/,,http://tong.visitkorea.or.kr/cms/resource/41/2452241_image2_1.jpg,,,鲜为人知的汽车世界 这是一个可以仔细了解汽车方方面面的场所。每个楼层的主题各不相同，可以尝试各种与车相关的体验活动。除此之外还有儿童体验空间、汽车专业图书馆、照片墙等，是一个具备艺术性且整体效果极佳的汽车形象店。  
8,乐天世界塔SEOUL SKY롯데월드타워 서울스카이,首尔特别市松坡区奥林匹克路 300서울특별시 송파구 올림픽로 300 (신천동),##한국#관광지#관광명소#여행지,SEOUL SKY +82-1661-2000,seoulsky.lotteworld.com,,http://tong.visitkorea.or.kr/cms/resource/91/2492291_image2_1.jpg,,,位于世界第五、韩国国内最高的乐天世界塔的地117层到123层的SEOUL SKY是500米高空之上的梦幻眺望台，同时也是可以360度欣赏到首尔风景及夜景的首尔最新观光圣地。它由展示区、眺望台、甜点咖啡厅、天空楼塔、休息区等组成，其中展示区位于地下1层、2层。  眺望层及展望台大厅内展示着韩国的诞生记成长的历史、彰显了传统及自尊心的数码媒体影像等各种看点，此外，这里还有纪念品商店出售SEOUL SKY自体开发的各种玩偶及相关周边商品，为您长久的留下关于SEOUL SKY的最美好回忆。  在眺望台楼层内拥有二层楼高的整体玻璃墙，可以眺望首尔市景。位于地上478米高的syk deck是世界上最高的玻璃地面眺望台，已经被吉尼斯世界纪录收录。在天气状况不好的时候，也可以通过大屏幕欣赏首尔美丽的风景。登上120层可以访问位于户外的天空庭院。  119层上设置有甜品咖啡厅，而SEOUL SKY最高层的123层上则安排有红酒吧。这里是既温馨又浪漫的、欣赏首尔景色的不二之选。去往SEOUL SKY的电梯“SEOUL SHULTLE也是一项不容错过的项目。这并不是单纯地电梯，而是时速600米的、世界第一台天花板与墙体全部为3D显示屏的电梯，一般放映与韩国的诞生与发展相关的影响。在飞上眺望台的1分钟时间内，相信您会感受到不一样的神奇感。 
9,泡菜间博物馆(뮤지엄김치간(間)),首尔特别市钟路区仁寺洞街35-4(贯勋洞),##한국#관광지#관광명소#여행지,+82-2-6002-6456 6477,http://www.kimchikan.com,,http://tong.visitkorea.or.kr/cms/resource/66/2363666_image2_1.jpg,,,
10,韩国电影博物馆(한국영화박물관),首尔市麻浦区世界杯北路400(上岩洞),##한국#관광지#관광명소#여행지,韩国电影博物馆 +82-2-3153-2072,,,http://tong.visitkorea.or.kr/cms/resource/26/2452826_image2_1.jpg,,,韩国电影迷之胜地就如其名，在韩国电影博物馆可找到一切有关韩国电影的信息。这里不仅收藏上映韩国电影，还会收藏国外电影与艺术电影等，是韩国最大的电影存档处。在此，访客可以观看电影，还可以参加视频制作体验、电影相关职业体验、儿童电影课堂等的多彩的体验活动。休息日 每周一、1月1日、春节假期、中秋节假期休息需要时间 两个小时左右体验活动/项目 *参观展会(韩国电影史、企划展会) *体验活动(编写剧本大纲并制作视频，了解电影制作程序、体验电影相关职业) *教育项目(体验印度尼西亚传统文化以及制作电影、儿童电影课程)年龄 不限(每个课程及体验项目体验对象不一)利用时间 夏季平日(3月~10月) : 10:00~19:00  冬季(11月~2月) : 10:00~18:00周末 10:00~18:00停车设施 有入场费 免费可使用设施/常设·企划展会馆，体验、教育空间等韩国人预约信息15人以上团体访客可在3天前预约翻译服务英语
