指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1,灯线瀑布,江原道春川市西面庆春路,#江原道#春川#观光地#瀑布,033-262-2215,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AU0003_I_01.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,100辆可停车的微型1000韩元/小型2000/大型4000韩元,灯仙瀑布以仙女和樵夫传说中的仙女池和奇岩怪石的绝壁构成一道靓丽的风景线瀑布清凉的水流在盛夏时依然凉爽。 因此这里在夏天也是深受游客欢迎的地方。 距离首尔北部80公里春川西南10公里。
2,九曲瀑布,江原道春川市南山面江村九谷街254,#江原道#春川#观光地#瀑布,033-250-3569,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AU0001_I_01.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,200辆可停车的微型1000韩元/小型中型2000韩元/大型4000韩元,从江村江村站步行约1小时就能到达瀑布入口售票处。 再上15分钟左右就会有回顾石塔和9个丘碑的九谷亭从47米高的高处落下的白色水流就会到达壮观的九谷瀑布。 特别是冬天掉落的瀑布直接变成了冰墙是攀冰岩爱好者们经常光顾的旅游胜地。
3,江村乐园,江原道春川市南山面江村路88,#江原道#春川#观光地#主题公园,033-261-4544,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AT0012_I_01.JPG&w=454&h=242,免费,无,位于旧江村站和现江村站的中间位置可以乘坐自行车迪斯科庞邦飓风旋转木马范伯卡幼儿用游乐设施等。
4,春川育林乐园,江原道春川市永西路2965,#江原道#春川#观光地#主题公园,033-252-7225,http://www.yuklimland.com/,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AT0001_I_01.JPG&w=454&h=242,成人3000~4000韩元/青少年儿童2000~3000韩元,可停车免费停车,育林乐园位于春川市沙农洞是1975年5月开业的春川市民的休息空间。 育林乐园内有自然学习动物园和游乐设施野外游泳场观光养鱼场高尔夫练习场网球场等设施。 野外设有游泳池和儿童游乐设施。
5,屈峰山野营场,江原道春川市白杨里252-1,#江原道#春川#观光地#露营地,033-254-1190,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AS0001_I_01.JPG&w=454&h=242,免费,可停车免费停车,在江原道春川市南山面白羊里可以看到位于屈峰山脚下的屈峰山野营场。 融汇在自然景观中的卡拉班帐篷区班加罗等各式露营设施为前来露营的游客提供了舒适的休息时间同时也营造出与珍贵的人们留下美好回忆的氛围。
6,家桥谷自然休养林,江原道春川市花岳池岩1街129,#江原道#春川#旅游地#自然休养林,033-243-1443,http://집다리골.kr/main.jsp,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0003_I_08.JPG&w=454&h=242,成人1500~2000韩元/青少年军人1000~1500韩元/儿童700~1000韩元,可以停车的轻型车1500~2500韩元/小型2000~3000韩元/中型3000~4000韩元/大型4000~5000韩元,位于江原道春川市史北面智岩里的家桥谷是韩国休养林的代名词。 从休养林入口右转再走13公里左右就到了休养林售票处。 秀丽的溪谷沿着步行街延伸聆听山中清澈的水声伴着风声和鸟声享受大自然中的徒步旅行这是家桥沟最大的魅力所在。 通往山上的道路左侧是台克和溪谷冥想中的树林洞穴等可以体验大自然的地方都位于散步路上。 家桥谷综合休息区由餐厅小卖部淋浴室组成淋浴室为男女通用使用时间固定。 这里还准备了自然学习木工艺等多种森林体验项目是和孩子们一起参观的最佳休养林。
7,江原森林体验场,江原道春川市笠笠峰길102,#江原道#春川#旅游地#自然休养林,033-243-5340,http://숲체험장.kr/main.jsp,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AO0001_I_01.JPG&w=454&h=242,成人1500~2000韩元/青少年军人1000~1500韩元/儿童700~1000韩元,可以停车的轻型车1500~2500韩元/小型2000~3000韩元/中型3000~4000韩元/大型4000~5000韩元,江原道山林开发研究院运营的休养设施江原森林体验场(旧春川狩猎场)是位于郁郁葱葱的山中的山林休养设施不仅有家人和朋友还有可以进行企业研修和各种研讨会的住宿设施和会议室。 此外还有幼儿也可以愉快体验的幼儿森林体验园。
8,江村环境生态池,江原道春川市南山面江村里447一带,#江源道#春川#旅游景点#自然生态,033-250-3331,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AN0076_I_04.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,可停车免费停车,为了去江村环境生态莲花池首先去江村站。 流动的江水就会没过多久。 因为不是大池塘所以到江村顺便来就行了。 走路的人和骑自行车的人都是休息的好地方。 游手好闲适於休息。
9,槿花洞幢竿控股有限公司,江原道春川市槿花洞793-1,#江源道#春川#观光地#遗址,033-250-8305,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AM0061_I_11.JPG&w=454&h=242,免费,无,槿花洞唐干地主是第76号宝物。 在幢竿之州所谓幢竿之柱是相对的一块石头。 即为了告知寺庙的活动或位置挂上佛旗等的旗杆的一种。 石头是花岗岩高352M。 另外还保存了支撑堂房的石头——间台石这是很少见的。
10,空地天游园地,江原道春川市伊甸园路25,#江源道#春川#旅游地#游园地,033-250-4312,http://tour.chuncheon.go.kr/tourinfo/sights/view/10421,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AL0002_I_01.JPG&w=454&h=242,无,不能停车,孔枝川是江原道春川市槿花洞的游乐园。 男女老少都可以随便去玩。 由公园构成喷水池等可以乘坐鸭船的小艇场有很多看点和乐趣。 特别值得一提的是这里有露天演出场常年演出。 环绕在湖水中除冬季外在3个季节内可以欣赏到中岛和义岩湖边的景观尽情戏水。 夜景特别美晚上来孔枝川游园的人特别多。 在春川市中心休息和文化空间有可以尽情享受湖畔风景的水边散步路雕塑公园黄金鳞(文学)主题街喷泉台户外表演场休闲设施等。
11,三岳山,江原道春川市西面庆春路,#江原道#春川#旅游地#山,033-262-2215,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AI0008_I_02.JPG&w=454&h=242,成人1400~1600韩元/青少年军人800~1000韩元/儿童400~600韩元,可以停车的轻型1000韩元/小型2000/大型4000韩元,春川市西面上的是邵阳江三岳山支那北汉江绕着衣岩湖的领域的沿河边的南方的烽火山和对面剑锋的大山。 主峰是龙华峰(645米)青云峰(546米)登仙峰(632米)因此被称为三岳山不愧为岳山非常险恶。 一到周末登山者和春川的游客就会人山人海。
12,凤仪山,江原道春川市昭阳路一街,#江原道#春川#旅游地#山,033-250-4312,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AI0006_I_05.JPG&w=454&h=242,免费,无,吉祥的凤凰展翅仪态威严故名凤仪山。 高301.5M位于市区北侧。 因为位于春川盆地中间眺望良好山顶附近有健身设施是市民们的休息场所。
13,春川美术馆,江原道春川市西部大成路71,#江原道#春川#观光地#美术馆,033-241-1856,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0009_I_02.JPG&w=454&h=242,免费,20辆可停车免费停车,春川美术馆是改造古色古香的旧教会建筑的美术馆。 美丽的春川美术馆是春川市玉泉洞的地标性建筑每周都能看到不同风格的作家们的展览。 坐落于附近市民可以轻松走近一起欣赏丰富多彩的文化艺术世界是舒适的市民文化休息场所。
14,昭阳江水库水文化馆,江原道春川市新샘밭路1128,#江原道#春川#旅游地#博物馆,033-259-7334,http//blog.naver.com/kwatersyk,每周一春节中秋节当天,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AH0006_I_10.JPG&w=454&h=242,免费,可停车免费停车,沿着大大小小的溪谷清澈的水正向中央流淌。 森林树种丰富不同季节不仅绿叶枫叶雪景等自然景观秀丽野生动物也栖息于此。 在位于春川市的昭阳监坝水文化馆可以充分感受到江原道的魅力。
15,春川内平战斗护国警察追悼奖,江原道春川市新北邑泉田里15-4,#江原道#春川#旅游地#文化,033-250-3075,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0049_I_01.JPG&w=454&h=242,免费,可停车免费停车,这座铜像为625战争首次大获全胜的春川地区战斗奠定了基础纪念已故警监卢钟海等11名护国英雄。 向内平支书旧址(现昭阳江大坝)方向竖起了约3米高的卢警监铜像。 左右设有10人浮雕。 春川市民的树林中有很多为儿童的空间还提供各种展示及休息空间。
16,美人鱼,江原道春川市新东面衣岩里,#江原道#春川#旅游地#文化,033-250-3075,,全年开放,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/0/AG0048_I_01.JPG&w=454&h=242,无,3辆可停车免费停车,周边三岳山和义岩湖的景观非常突出是深受行廊客喜爱的地方。 人鱼奖是1971年当时担任春川高中教师的春川教育大学名誉教授李吉钟和他的弟子们的习作。 然而40年过去了变色的老化2013年重新装修青铜雕塑。 人鱼奖周边有动漫博物馆清平寺等景点。
