指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1,意大利咖啡(甜点),庆尚北道郁陵郡郁陵邑郁陵循环路212-31号咖啡屋,#郁陵岛#郁陵岛旅行#咖啡#咖啡厅,054-791-9200,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20171102/D37DF71E2DE44D7CA5083BD0F5337ABD.jpg,,,郁陵岛是几个咖啡馆之一位于苎洞。还出售蜂蜜红色烤面包等零食去吃饭也不错。咖啡馆整体上融入了郁陵岛特有的感性。
2,集市食肉餐厅(韩食肉类),庆尚北道义城郡金城面塔里一街,# 义城旅行# 义城美食店#猪肉# 肉熟了去,054-834-1366,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151003/ED5902D63327452FB7B8C83B4F0A3A8B.jpg,,,
3,共性牛肉(韩式肉类),尚州市功城面功城中央路111,#尚州旅行#尚州美食店#牛肉#徒步旅行#火车旅行,054-532-1199,#self,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/018BFB7634A7470398D4D86CAE35D938.jpg,,,
4,独岛(海),庆尚北道郁陵郡郁陵邑独岛里,#独岛是我们的领土。#韩国旅游的100,独岛管理事务所054-790-6642 6646,http://www.dokdo.go.kr/pages/main/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160119/17092BA14CC44CD08841A2DF694EAA12.jpg,,,在独岛郁陵岛在内的周围有43个岛屿。 其中有人居住的地方是独岛在内的3处。
5,传统韩餐料理专营店高恩韩正植(韩正植),庆尚北道英阳郡英阳邑黄龙川路41(2楼),#营养山野菜#Well-Being食团,054-683-5005,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20170516/46E1EE6C3F21476A97BB6213AED47772.jpg,,,
6,九政洞方型坟 (文化遗产),庆尚北道庆州市梨邱三街30,#庆州文物#史迹#了解统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150729/17FDCD3D75354A508FDD99218860A23B.jpg,,,统一新罗时代的坟墓位于从庆州通往佛国寺路北侧丘陵山脚下。 坟墓的形态为正方形在覆盖泥土的坟头下面有雕刻有12尊神像的周长石。
7,白岩温泉酒店凤凰城 [优秀住宿设施 Good Stay](酒店),庆尚北道蔚珍郡温井面温井里968-1,#温泉旅行#适合登山的地方#家庭旅行#白岩温泉周边住宿#白岩温泉周边#蔚珍住宿,054-787-3044,http://baekam-hotspa.co.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/A17278B1416A429F967A6CF419410585.jpg,,,位于庆北蔚珍的白岩温泉酒店菲尼克斯位于有阿尔卡里川人白岩温泉的白岩山麓是一栋5层规模的建筑从一般客房到团体客房都备有各种客房。
8,伽倻酒店(酒店),庆尚北道星州郡修伦面伽倻山植物园街52(修伦面),# 成周淑朴#适合登山的地方#家庭旅行,054-931-3500,http://www.gayahotel.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/6CAC2AD807C54607B42AFC198C93FC29.jpg,,,位于海拔560米高地的伽倻酒店位于摆脱所有污染源的清净地区伽倻山国立公园怀抱着泰古神秘的海印寺刹和伽倻文化遗址神秘诞生。
9,金枪鱼笼服(体验),庆尚北道安东市丰川面全西路159,# 书生故事旅游卡#河回村#韩服体验,054-853-9909,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20190422/97DD3B3809B74A079D712B79FE847CEF.jpg,,,
10,清凉山산나리村(体验),庆尚北道奉化郡明湖面飞罗里街156(明湖面),#烽火旅行#孩子体验学习#家庭旅行#值得和孩子一起去的地方,比那利村 054-673-1927,http://binari.invil.org/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/20E3203E0A6545A0A7828EC0DE0042AD.jpg,,,拥有清澈的水和空气充足人心丰富的体验设施的清凉山碧娜里村是指在行政区域烽火郡明湖面的官仓12里北谷里丰湖1里道川1里等5个村庄。 碧娜丽原是行政区域上丰湖一里碧津村的纯韩语地名。 清凉山碧螺村的房子大多坐落在清凉山附近洛东江流域的叠峦叠첩中风大海拔高冬季天气异常寒冷。
