指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1,乔桐美术馆,全罗北道全州市完山区京畿田路89,#全州#文化空间#参观设施,063-287-1245,http://www.gdart.co.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f24f42f4-27c6-4f83-80ae-17f98d2ba74a.jpg.png,,,营业时间上午10点至下午11点营业周一闭馆周二至周日开放6天。
2,国立无形遗产院,全罗北道全州市完山区西鹤路95(东西学洞896-1),#全州#文化空间#参观设施,063-280-1400,http://www.nihc.go.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/7786036f-2c6e-41d3-9063-29e5bf7d94c5.jpg.png,,,空间介绍- 国立无形遗产院是为系统地保存继承韩国传统文化基础的非物质文化遗产而设立的文化财厅所属机构负责非物质遗产表演展示教育传承支援调查研究等的国家机关。 - 国立非物质遗产院是任何人都可以近距离感受和享受非物质遗产的非物质遗产综合文化空间。
3,国立全州博物馆,全罗北道全州市完山区艾草고개路249(孝子洞二街),#全州#文化空间#参观设施,063-223-5651,http://jeonju.museum.go.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/49bbb318-8852-4cb7-92fb-380976cf0872.jpg.png,,,国立全州博物馆自1990年开馆以来负责收集保存全罗北道文化遗产并进行研究展示教育。 通过策划各种主题展览推动专题展览和学术活动深入介绍全罗北道的历史和文化。特别是重点推进朝鲜儒生文化的特性化展示等学术活动研究扶安竹幕洞祭祀遗址后百济历史复原扶安有川里青瓷保存等全北重要的研究课题致力于地区研究的发展。 此外还开发并运营着以地区居民为对象可以参与博物馆活动的各种项目。它是引领全罗北道地区文化的中心文化机关。
4,泡菜文化馆,全州市 完山区 鱼津路 29,#全州#文化空间#参观设施,063-287-6300,http://www.jeonjukimchi.com,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/4ac4386c-6916-4446-9f44-c1b316531d92.jpg.png,,,事务局:推进名牌泡菜产业化事业 接受教育 等多馆(韩食教育馆): 泡菜及乡土饮食专门讲座 周末儿童泡菜讲座 研讨会 灯下菜(泡菜体验馆):
5,东学革命纪念馆,全罗北道全州市完山区银行路34(丰南洞三街),#全州#文化空间#参观设施,063-231-3219,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/6d0ce3d0-f985-47f8-89e0-281ca5599ae1.jpg.png,,,为纪念东学革命100周年为纪念崇高的革命精神而建立的纪念馆由常设展厅和纪念馆组成。 [交通信息]从东部市场往南方方向(交大方向)约350米距离从全州市厅徒步到东部市场20分钟(韩屋村内)。
6,REVING CONTENTS DIT中心,,#全州#文化空间#参观设施,063-281-1559,http://www.ditcenter.co.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/0141a97c-2126-40eb-adde-a18bace3d63e.jpg.png,,,Living Contents DIT中心是可随时打造任何人的 MakerSpace*是一款以生活中的创意共同打造实用生活用品实现Maker文化的普通人均可参与的参与型产品生产空间。* Makerspace是具备制造所需工具的场所能够将我闪亮的创意制作成试制品通过相关体验程序学习制作方法是任何人都可以参与的空间。□可利用时间:周一-周五 10:00-2:00 周六 10:00-17:00 / 每周日 休馆 □ 设施指南 o 教育室: 教育和工作 空间 o 创意工作室
7,右进文化空间,郴州市德津区全州川东路376,#全州#文化空间#参观设施,063-272-7223,http://woojin.or.kr/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/f5f43f55-b698-4957-9144-98e32c29a68e.jpg.png,,,沿着川边的爬山虎家的牛津文化空间全州川边路走就能看到牛津文化空间。 爬着粗糙的裸露混凝土外墙爬起的爬山虎的绿意吞噬了白天的烈日给人留下深刻印象的该建筑是专门帮助艺术家创作活动的空间。  90年代以后岛内用于市民文化享受的文化设施大幅增加而艺术品生产者帮助文化艺术人的创作活动的设施则处于踏步状态。 友珍文化财团切实感受到市民对文化艺术的旺盛需求和为支援文化艺术人创作活动而需要的空间。 结束了13年的西老宋洞时代2004年在全州市德津区镇北洞筑巢的牛津文化空间是牛津文化财团文化事业根据地也是等待已久的专业艺术家创作的摇篮。  文化艺术人任何人都可以经过简单的申请程序便利地利用设施。- 设施规模:占地1875.4M2 (568坪) 总建筑面积 3481.54M2 (1055坪) - 开放时间:上午10点~晚上10点 每周一休馆
8,全罗北道教育文化会馆,全罗北道全州市德津区安德院路71镇北洞,#全州#文化空间#参观设施,063-270-1601,http://www.jec.go.kr/,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/c4939d41-7d5d-4992-b3a5-9c03476b8f30.jpg.png,,,○ 设置者/运营者:全罗北道教育厅 ○ 规模:总面积5943平方米(1801) 地上 3 层 地下 1 层 ○ 开馆年度: 1983 ○ 按功能分类
9,全北大学三星文化会馆,全罗北道全州市德津区权三得路290(金岩洞),#全州#文化空间#参观设施,063-270-2089,http://cnucc.chonbuk.ac.kr,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/63360005-4bbd-4caf-896a-c31bf2e9d1f9.jpg.png,,,作为综合文化艺术活动殿堂拥有最新的舞台设施是展示纯文化艺术和大众艺术表演的场所。 作为拥有2600坪规模全北最高设施的文化活动演出场其内部的sorento restory廊外还设有叫做野花的花园作为全州市民的休息空间而倍受瞩目。 由演出场和展示场组成的学生会馆是总面积达5943平方米地上3层地下1层的规模是全罗北道教育厅运营的学生们的文化场所是幼儿园儿童从学艺会到大人展开各种文化活动的地方。
10,全北艺术会馆,全罗北道全州市完山区八达路161(庆源洞一街),#全州#文化空间#参观设施,063-284-4445,,,http://tour.jeonju.go.kr/planweb/upload/9be517a74f72e96b014f820463970068/inine/content/preview/bfdf1be3-7f1b-4d70-aede-14ff5fea7e82.jpg.png,,,它作为岛内文化艺术活动的殿堂为各种展览和演出提供了空间。
