指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1,城山日出峰(UNESCO 世界自然遗产),济州特别自治道西归浦市城山邑城山里1,#日出#升更#景观#土#父母,064-783-0959,,10月~2月: 07:30~19:00 (截止售票17:50) / 3月~9月: 07:00~20:00 (截止售票19:00),https://api.visitjeju.net/photomng/imgpath/201810/17/c072ee1a-2a02-4be7-b0cd-62f4daf2f847.gif,普通:2.00元/残疾人:免费(至1-3级同伴1人)。 test,,城山日出峰不同于济州岛的其他火山丘是岩浆在水中喷发后形成的水性火山体。火山活动时喷出的炽热岩浆与冰冷的海水相遇火山灰积聚了很多湿气形成粘稠的性质形成层层堆积这就是城山日出峰。大海附近的沉积层被海浪和海流侵蚀倾斜度像现在一样陡峭。形成当时是远离济州本土的岛屿随着周围沙子和自相矛盾的堆积在干潮时期就有了与本土相连的道路1940年这里有了公路现在与陆地完全相连。登上山顶可以看到宽达8万多坪的火山口里面长着紫芒等草。火山口周围有99座高耸的山峰(岩石)。因为这个样子像一座巨大的城堡所以城山日出的样子很壮观所以取名为日出峰。据传说城山日出峰的凤鸭是100济州也有老虎。据说狮子一样的猛兽会飞但因为一个不够只有九十九岁所以不是老虎也不是狮子。圣山日出峰还珍藏着济州的惨痛历史。 1943年日军为使这里成为要塞在日出峰海岸绝壁上挖了24个洞。在洞穴中隐藏炸弹和鱼雷等进行了应对但未能正常使用最终战败。该洞后来还被用作簪子的更衣室。连接城山日出峰和本土的路口在涨潮时被称为决口在此处和日出峰的牛뭇一带发生4·3抗争时很多平民被围剿队杀害。到城山日出峰山顶的陡峭的楼梯道上呼吸困难但只需20分钟就能到达山顶。在山顶上宽大的火山口和后面延伸的大海的风景是济州的
2,사려泥숲街,济州特别自治道济州市朝天邑校来里山137-1,#森林路#步行#登山#朋友#情侣#赫林#春天,064-900-8800,,09:00~17:00 (至17:00 退场) / 雨天及暴雪时可能限制通行访问前需确认有线线路,https://api.visitjeju.net/photomng/imgpath/201804/30/552458b3-55a3-4589-b2e7-d8f29d1ca277.jpg,,,沙里尼林路是济州31处隐藏的秘境之一从碑碑林路开始经过水茶堆和沙里尼林路是杉树茂密的林路。由于林道一直延伸到沙里尼岳所以被称为沙里尼林道。萨里尼意为神圣的森林或不散线地盘成一圈漫步在林间小路上会有一种被清爽的杉木香气所包围的感觉。不仅有密密麻麻的杉树还有 졸树 서树 때树扁柏树等多种树种。由于栖息着多种树种因此这里也成为包括五小里和济州族燕子在内的哺乳类八色鸟和包括战鹰在内的鸟类铁살毛蛇在内的爬虫类动物的乐园。沙里尼森林路本来树林的形状并没有受到太多的破坏喜欢徒步旅行的旅游者经常光顾。2002年联合国教科文组织指定济州生物圈保护区(Biosphere Resev)。为了保护树林以自然休憩年制限制了水茶火山但临时性地举行了开放此处的Eco-Healing活动。走在沙里尼林道上抬头望去凉爽直直地伸向天空的杉树为它营造出阴影阳光从它中间照射出来。夏天无论多么闷热都能感受到从林间小道吹来的凉爽的风。如果想在济州呼吸清净的空气治愈身心就好去访问。如果想尽情享受红火山岩浆路和密密麻麻的杉树林路就不要去入口而应该去红岳入口。□沙里尼森林路过境公共交通现状○8月以前 - 城市旅游巴士(1日8次) - 郊区
3,牛岛(海洋道立公园),济州特别自治道济州市牛岛面延坪里904-1,# 岛中之岛#景观#土#眼#明亮,064-782-5671,,牛岛外部车辆(租赁车辆包租巴士)通行限制(2019. 7. 31)详情请登录www.jeju.go.kr查询。,https://api.visitjeju.net/photomng/imgpath/201804/30/dd51e08a-a970-466a-972e-f47f405ca644.jpg,普通门票:1.000元 / 残疾人免费(船费另计),,牛岛因为长得像牛所以很早就被称为牛岛或牛岛。拥有缓坡和沃土丰富的渔场牛岛八景等天然条件的旅游胜地是每年吸引40~50万名游客的济州代表性附属岛屿。在城山港和宗达港牛岛可乘船从哪里出发需要15分钟左右。岛上长3.8公里周长17公里虽然不休息步行需要3至4个小时但大部分游客乘坐公交车或自行车微型电动车主要游览著名的旅游景点。泛在海边或结核검멀레沙滩海边우도봉等著名的하고수동地以1比2个参观咖啡店或餐厅里休息也以3比4个小时左右的大概时间。如果想悠闲地享受牛岛最好是乘坐早船下午乘船出来一整天停留在牛岛。但是根据天气情况船的运航与否会有所不同因此在制定牛岛旅行日程时一定要确认气象条件。来乌岛的游客主要选择红潮丹槐海边的乌岛峰黑石海滩。红藻丹块海边也被称为珊瑚海边随着形成沙滩的白色颗粒不是珊瑚而是红藻类硬化成颗粒状后形成的被查明后被称为红藻丹块海边。宽广的沙滩和美丽的大海颜色而出名的海水浴场也有하고수동。这里有坡度较缓的天津东路线和风景优美的黑山海岸路线还可以登上牛岛峰眺望牛岛全景。除了自然美景之外还通过海上钓鱼自行车海盗潜艇和游船等增加了旅行的乐趣。​​​​​​​​​​
4,侠才海水浴场,济州特别自治道济州市翰林邑挟才里2447,#日落#海水浴场#冰激凌#I#晴#夏天,064-728-3394,,合作综合状况室:064-728-3981(海水浴场开放时间:2018.06.23~09.02 期间),https://api.visitjeju.net/photomng/imgpath/201804/30/1884a0df-e6cf-4e67-9a18-5e1b6169cff0.jpg,,,如果要说济州岛西侧值得一去的海水浴场首选的是协才海水浴场排在第12位。位于济州市翰林邑是济州偶来14路线的一部分。也是与金陵海水浴场相邻的双子座海水浴场。仿佛在透明的水中慢慢解开了祖母绿颜料一般的大海光光是看着就能治愈。退潮时夹杂着大量贝壳的银色沙滩无边无际。海前有一幅大象图案的飞羊图它吞食了小王子中的蟒蛇。飞羊岛和海面上的夕阳是这里不可错过的又一个壮观景象。夏天还会进行夜间开放可以在椰树下尽情享受济州岛的绿色夜晚。峡载海水浴场坡度较缓水深较浅还有松树林适合有儿童的家庭为单位的游客度假。周边有各种咖啡屋和美食店宿舍周边有翰林公园金陵海水浴场金陵石勿苑月岭仙人掌自生地等。​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
5,驼色高跟鞋,济州特别自治道西归浦市安德面上仓里271,#景观#photo#情侣#i#明朗#冬季#优秀旅游公司,064-792-0088,,收尾因季节而异,https://api.visitjeju.net/photomng/imgpath/201804/30/f7325127-292d-4e8f-a665-a44d7a46acd2.jpg,成人8.0000韩元/青少年6.0000韩元/儿童残疾人5.0000韩元,,卡梅利亚山是东方规模最大的冬柏树牧园80个国家的500多种冬柏树6000多株形成了茂密的森林。 另外在8种散发香味的山茶花中有6种可以闻到山茶花的香气。除多种山茶花外还有多彩的花令人赏心悦目形形色色的美丽花其香气也是多种多样的每迈出一步都带来隐隐清新的香气。春天里美丽的郁金香散发着各种色彩4月份左右樱花盛开。 夏天水菊路上开满了水菊。 一到秋天野花盛开得美丽冬天盛开的山茶散发着它的香气和色彩。各种植物构成了一道美丽的风景线想要珍藏它的游客的相机根本来不及休息。 与随处可见的拍照的好道具一起以卡梅利亚山的自然为背景成为一幅画中风景的一部分并留下照片。 印有让人多思多想轻松自在的漂亮字句的Garland和牌子既成为摄影道具又安慰疲惫的心让在卡梅利亚山散步更有魅力。​​​​​​​​​​​​​​​​​​​​​​​
6,汉拿山国立公园,济州特别自治道济州市 1100路2070-61,#山#步行#登山#景观#土#朋友#四季,064-713-9950,,根据季节和气候变化的入山控制区间参考网站,https://api.visitjeju.net/photomng/imgpath/201804/30/661b71dc-cdec-4eee-8ad4-240285460226.jpg,有停车费,,和智异山朝鲜的金刚山一起属于韩半岛三大灵山的汉拿山位于韩半岛的最南端海拔1950米在韩国最高。它形成了多种植被分布具有很高的学术价值作为动植物宝库于1966年10月12日被指定为天然纪念物第182号汉拿山天然保护区。1970年3月24日被指定为国立公园2002年12月被指定为UNESCO生物圈保护区。汉拿山是新生代第4期年轻火山岛距今2万5千年一直从事火山喷发活动汉拿山周围分布着360多个火山丘景观奇特。 汉拿山巍然屹立在岛中央雄姿壮美仿佛心怀慈祥而坚韧的气象。被千姿百态覆盖的秋天的万山红叶是不可或缺的景观唯独雪中雪中之恨堪称绝景中的美景。随着季节的变化形形色色的自然景观让人不由自主地发出感叹。保留着太古神秘的汉拿山和美丽的土地济州是神赐给我们的至高无上的宝物也是世人需要共同培育的珍贵遗产2007年6月27日济州火山岛和熔岩洞窟。为保全汉拿山的纯净环境汉拿山的登山路线共分为5条。 目前山顶白鹿潭登山路线只能通过城板岳~观音寺路线攀登在营室鱼儿木顿乃子可以攀登的白鹿潭南壁路线目前因落石而存在事故危险。传说很久以前有个身材很高大的问卷调查台。 问卷调查员奶奶力气也是生意有一天裙子上满是泥土一片蔚蓝的大海
7,月定理海边,济州特别自治道济州市旧左邑月亭里33,#海边#景观#土#情侣#夏天,064-728-3394,,,https://api.visitjeju.net/photomng/imgpath/201804/30/ec362343-4c4b-4da2-905d-1d4be8b26d44.jpg,,,位于济州岛东侧的村庄月亭里是取名为月亮停留的抒情风景之村。 美丽的祖母绿海洋宛如一幅画上面是明月。 来到风景画般美丽的月亭里海滩的游客个个以各种方式尽情享受海边的风光。 特别是因为水深较浅所以可以带孩子和家人玩水。月亭里美丽的风景在游客中越来越有名到月亭里海边旅游的人也越来越多因此各种餐厅咖啡厅住宿设施等也越来越多。 为了让人们能够看着大海休息几个咖啡厅都设置了椅子但坐在椅子上拍摄的照片却非常有名因此还成为了一个photospot。 在月亭里可以看到拿着相机记录济州岛旅行回忆的人们。除此之外还有享受冲浪滑雪皮艇等多种水上运动更有活力地享受在海边的快乐的人。 月亭里海滩由于持续有固定高度的海浪进入冲浪很方便所以赛车手经常光顾。 济州岛偶来路20号金宁-哈多是偶来和金宁-月亭地质考察路线的一部分游客可以一边走一边欣赏大海的美丽风景和凉爽的海边风景。​​​​​​​​​​​​​​​​​​
8,摄制,济州特别自治道西归浦市城山邑古城里 62-5,#日出#海边#景观#土#情侣#晴#秋天,064-740-6000,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/46437f2d-5fe9-4360-9c4b-5535cd8ef160.jpg,门票免费/停车费:残疾人(500韩元),,在济州东部海岸凸出的横琴以城山日出峰为背景的海岸风景堪称一绝。 在野头的信阳海边沙滩尽头山坡上的油菜地可以悠闲地吃草的济州赛马用岩石围成的海岸绝壁和高高耸立的传说中的仙岩等。特别是与济州的其他海岸不同由叫做松的红色火山灰构成的随着涨潮和退潮沉入水中后重新站起来的奇岩怪石将上演在任何地方都看不到的自然首席展示会。涉智柯吉的涉智是指在士大量涌现的地势柯吉是指从陆地向大海突出的才。历史或科学的背景知识可以更加丰富地观望涉智柯吉首先在火山岩丘灯塔附近可以看到朝鲜时代告知倭寇入侵的烽火台。 高4米长9米形似圆形的烽火台让人联想起朝鲜时代的危急情况并回忆起历史的足迹。从科学的角度来说这里也是很好的自然学习的场所可以观察火山爆发时岩浆喷发的火山口中心。 岩浆就是从该花岛喷出的岩浆堆积而成的。相反仙石岩还流传着以下悲伤的传说。从天而降的仙女给的反韩东海的小儿子在100용왕신日不足真诚的婚姻仙女不住了。 他悲伤地等待着天降仙女 站在原地用石头
9,济州4·3和平公园,济州特别自治道济州市凤开洞237-2,#室内#文化遗址#情侣#heim#春天,064-723-4344,,每月第一第三周休馆/入场17点,https://api.visitjeju.net/photomng/imgpath/201804/30/f9a5912b-edf2-474b-b5fe-8cd0286c9c09.jpg,,,位于济州市奉盖洞的济州4.3和平公园是纪念4.3事件当时牺牲者的空间。 公园内有济州4.3和平纪念馆慰灵祭坛慰灵塔奉安馆等。 慰灵祭坛是一年中对4.3牺牲者进行参拜的地方另外设有供奉他们的灵位供奉室。 4.3 遗骸发掘工作时期奉安馆有396座遗骸各秘苑记录着牺牲者姓名和性别当时年龄等。4.3 和平纪念馆共有六个特别展馆。 第一馆以天然洞窟为主题第二馆以解放和挫折为主题讲述解放后3.1节纪念活动中死亡的6名民间人士的故事。 第3馆以武装起义和拒绝分裂为主题讲述了1948年4月3日发生的武装起义第4馆则以屠杀为内容。 最后第五馆和第六馆还悬挂着通过真相查明运动克服伤痛的过程和参观后的感言。​​​​​​​​​​
10,奥沙洛克博物馆,西归浦市安德面新花驿路15号,#绿茶#主题公园#情侣#I#冬季,064-794-5312,,全年无流,https://api.visitjeju.net/photomng/imgpath/201804/30/f6013428-bfe1-455b-9f7f-73a5e6f5221c.jpg,,,2001年9月开馆的osullocity museum是国内外茶相关物品和博物馆位于展开绿色绿茶田的济州岛曙光茶园入口。它既是东西方传统和现代相融合的文化空间也是自然亲近的休息空间整个建筑都是由绿茶杯形象化而成。这里是了解绿茶和韩国传统茶文化的学习空间可以体验雪绿茶的一切。吴雪录的《oh》既有轻快的感叹之意也有origin of sulloc only sulloc of sulloc cha的意思。 充满室内的绿茶香和透过整块玻璃看到的绿色绿茶田让心情舒畅 济州成为众多游客光顾的名胜。在茶屋可以品尝到茶大师亲自炒的热茶和用绿茶制作的饮料冰淇淋蛋糕等。 特别是深绿色的LOLOOKKEEQUCK不会太甜因此也受到了大人们的欢迎。​​​​​​​​​​
