여행지이름,주소,태그,전화번호,홈페이지,영업일,OVERVIEW
0. 남양주 물의정원,경기도 남양주시 조안면 북한강로 398,#걷기길#걷기여행#관광지#남녀노소#반려견과함께#반려견동반여행지#산책코스#산책하기좋은곳#자연좋은곳#자연환경#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링&휴양,남양주시 하천공원팀 031-590-2783,남양주시 문화관광 <a href="https://www.nyj.go.kr/culture/223" target="_blank" title="새창: 남양주시 문화관광">https://www.nyj.go.kr/culture/223</a>,,운길산역 건너편 북한강 변 들머리에 자리한 물의 정원은 아름다운 습지 공원이다. 자전거도로와 강변 산책길  물향기길  물마음길  물빛길 등 산책로와 전망 데크가 조성되어있다. 자전거를 타기 좋고  여유롭게 산책을 즐기기에도 제격이다. 물마음길과 강변 산책길은 전망대와 휴식 공간이 곳곳에 설치되어 북한강의 풍경을 만끽할 수 있다.※ 반려견 동반 여행 정보- 6월이면 양귀비가 만발해 반려견과 함께 멋진 사진촬영- 주차비는 365일 무료
1. 제주다원 녹차미로공원,제주특별자치도 서귀포시 산록남로 1240,#가족과함께#관광지#반려견동반여행지#사진찍기좋은곳#사진촬영명소#아이들과함께#연인과함께#이색체험#자연좋은곳#자연환경#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,제주다원 녹차미로공원 064-738-4433,제주다원 녹차미로공원 <a href="http://www.jejugreentea.kr"target="_blank" title="새창: 제주다원 녹차미로공원">http://www.jejugreentea.kr</a>,연중무휴,중문관광단지에서 12분 거리. 한라산 해발 500m 청정지역에 위치하고 있으며  서귀포 70경 중 제 1경이라 할 만큼 아름다운 전망을 자랑합니다. 한라산 중턱에서 바라보는 싱그런 녹차밭과 가슴 속까지 뻥~ 뚫리는 막힘없는 뷰와 수평선 끝가지 제주도 남쪽 먼바다를 한 눈에 바라볼수 있는 파노라마로 펼쳐진 풍경을 감상할 수 있습니다. 5만평규모의 드넓은 녹차밭과 순수 녹차나무로만 이루어진 녹차미로 5개코스 (총 5단계 레벨)와 전망대  해먹체험장  동물농장  티카페  핑크뮬리정원 등 다양한 포토존과 볼거리  즐길거리가 준비되어 있습니다.
2. 알바트로스,충청남도 태안군 안면읍 안면대로 3050,#숙박#충청권#태안숙소#펜션,041-673-3151,<a href="http://www.알바트로스펜션.com" target="_blank" title="새창 : 알바트로스 홈페이지로 이동">http://www.알바트로스펜션.com</a>,,알바트로스는 유럽형 목조건물로 꽃지해수욕장과 5분 거리에 있다. 야외에서 고기나 해산물을 구워 먹을 수 있는 바비큐장(그릴)이 준비되어 있다. 또한 모닥불을 피워놓고 이야기꽃을 피울 수 있는 장소도 마련되어 있다. 펜션에 구비되어 있는 자전거를 이용해서 불과 몇 분 거리인 꽃지해수욕장과 휴양림을 돌아보는 자전거 하이킹도 가능하다.
3. 화이트펜션,충청남도 태안군 안면읍 꽃지해안로 484,#숙박#충청권#태안숙소#펜션,010-3498-3428,<a href="http://whitepension.anmyondo.co.kr" target="_blank" title="새창 : 화이트펜션 홈페이지로 이동">http://whitepension.anmyondo.co.kr</a>,,유럽형 목조건물로 지어진 화이트펜션은 사방이 넓게 트여 있어 전망이 좋다. 정성스레 가꿔진 정원은 계절마다 피는 화사한 꽃나무들로 아이들의 체험학습장으로 인기가 좋다. 최근에 완공된 최신 시설의 방은 42인치 벽걸이 TV 등이 구비되어 있다. 또한 넓은 주차공간을 확보되어 있어 더욱 편리하다.
4. 숯굽는마을 복골온천,강원도 양양군 강현면 복골길201번길 58,#강원도#숙박#양양숙소#펜션,033-671-4008 & 010-2549-4008,<a href="http://www.charcoalpension.com" target="_blank" title="새창 : 숯굽는마을 복골온천 홈페이지로 이동">http://www.charcoalpension.com</a>,,숯굽는마을은 아무것도 없었던  넓기만 한 땅이었던 이곳에  한 젊은 부부가 들어와. 작은 통나무 집에서 숯을 피는 아저씨에서 이제는 숯 굽는 마을 복골온천이란 관광농원이 되었다. 
5. 엘도라도펜션,충청남도 태안군 남면 마검포길 331,#숙박#충청권#태안숙소#펜션,010-5116-2039,<a href="http://www.goeldorado.co.kr" target="_blank" title="새창 : 엘도라도펜션 홈페이지로 이동">http://www.goeldorado.co.kr</a>,,3층 건물의 엘도라도펜션은 11개의 객실로 운영되며 50m 앞에 바다가 있어 언제든 해수욕이 가능하다. 일러스트를 이용해 감각적으로 꾸민 객실 내부는 독특한 분위기를 자아내며  넓은 잔디정원에 꾸며진 인테리어 소품과 미니 풀장은 더욱 운치가 있다. 주변 볼거리로는 안면도 백사장항과 안면도 자연휴양림 등이 있다.
6. 지중해펜션,충청남도 태안군 안면읍 밧개길 165-60,#숙박#충청권#태안숙소#펜션,010-4228-9336,<a href="http://www.jijunghae.co.kr" target="_blank" title="새창 : 지중해펜션 홈페이지로 이동">http://www.jijunghae.co.kr</a>,, 해변을 자랑하는 밧개  꽃지  백사장해수욕장과 좋은 공기를 마시며 산림욕을 할 수 있는 자연 휴양림 인근에 위치한 지중해 펜션이다. 정성 들여 꾸민 바다가 내려다 보이는 예쁜 객실과 넓은 마당에서의 즐거운 바비큐 파티는 여행의 즐거움을 더해준다. 
7. 소나무리조트,충청남도 태안군 남면 몽산포길 179,#숙박#충청권#태안숙소#펜션,041-672-4320,<a href="http://mongpen.co.kr" target="_blank" title="새창 : 소나무리조트 홈페이지로 이동">http://mongpen.co.kr</a>,,서해의 몽산포해수욕장에 위치한 소나무리조트는 단독식 원룸형으로 자연 그대로를 살린 목조 시설이다. 바다동과 소나무동으로 나뉘어져 있으며 커플  가족 뿐 아니라 단체가 이용할 수 있는 객실도 갖춰져 있다.
8. 이안펜션,충청남도 태안군 고남면 구매길 43,#숙박#충청권#태안숙소#펜션,010-3786-2499,<a href="http://www.ianpension.co.kr" target="_blank" title="새창 : 이안펜션 홈페이지로 이동">http://www.ianpension.co.kr</a>,,영화처럼 로맨틱한 펜션하우스 이안  탁 트인 바다와 들 그리고 산이 어우어진 안면도 구매항에 위치한 펜션하우스이다.
9. 우리두리펜션,충청남도 태안군 남면 달산포로 172-22,#숙박#충청권#태안숙소#펜션,041-672-2586,<a href="http://www.wooridoori.co.kr" target="_blank" title="새창 : 우리두리펜션 홈페이지로 이동">http://www.wooridoori.co.kr</a>,,펜션 내에 야채농장이 있어 무공해 야채를 직접 따서 먹을 수 있어 아이들에게는 현장체험도 할 수 있으며 또한 갯벌 체험과 계절마다 다양한 이벤트가 준비되어 있다. 
