이름,주소,태그,전화번호,홈페이지,운영시간,이미지,소개
0. (유)헤세의정원,경기도 양주시 장흥면 호국로550번길 111,#양주맛집#음식,031-877-5113 010-4009-3061, http://www.naturedog.co.kr ,월요일(단  공휴일/대체휴일은 정상운영) / 명절 전날 및 당일,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=8824ffa2-4e9a-4c2c-9eac-e98616d50311,※ 영업시간 11:00~19:00 ※ 반려견 동반시만 입장 가능 ※ 만 10세 미만 영유아 입장 제한 ※ 입질이 있거나 공격적인 반려견 입장 제한 ※ 맹견류 및 시베리안허스키  말라뮤트  진돗개  풍산개  저먼셰퍼드  도베르만 등은 입장이 제한되며  당견종의 믹스견은 입장이 제한될 수 있음(기타 입장제한 견종 유선 확인)  헤세의정원은 복합문화공간으로   커피숍  이탈리안레스토랑  애견카페  단체행사 및 야외결혼식등을 진행하며  자연친화적인 북유럽의 정원형태를 띄고 있다. 헤르만헤세의 정원을 모티브로 만들어져 그 명칭이   헤세의정원  이 되었다.  그 중   네이처독  은 북한산 국립공원의 숲에 둘러싸인 자연테마 애견카페이다. 3 500평 규모의 천연 잔디 운동장과 쉼터에서 반려견 및 견주들이 힐링할 수 있는 장소이다. 소·중·대형 반려견 몸무게별 이용가능한 공간이 구분되어 있으며  전견종이 이용가능한 공간도 있다. 자연친화적인 수영장은 기존 국내에는 없던 수영장의 모습을 띄고있다.   헤세의정원 내 이탈리안 레스토랑   그릴휘바  는 야외석에서 반려견과 동반식사가 가능하며  포장으로 애견카페 안에서 식사도 가능하다. (방문 10%할인  포장 20%할인)
1. 낙산사,강원도 양양군 강현면 낙산사로 100,#가족여행#강원권#관광지#기차여행#나들이#낙산사#사찰&산사#서울근교여행#아이와함께#역사#자연좋은곳#전통&역사문화체험#체험학습#친구와함께#템플스테이,낙산사 종무소 033-672-2447 8  템플스테이 033-672-2417   홍련암 033-672-2478,낙산사  http://www.naksansa.or.kr    낙산사(템플스테이)  http://naksansa.templestay.com ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=2d3fcace-d419-4df3-9c5e-b04abedee05a,양양군 북쪽 해안에 위치한 낙산사(洛山寺)는 오봉산(五峰山)을 배경으로 하여 신라고승 의상대사가 관음보살의 계시를 받고 지은 절이다. 의상이 하루는 바닷가  동굴에 관음보살이 머물고 있다는 소문을 듣고 몸소 친견을 하고자 이곳을 찾아왔다. 바닷가 바위 절벽 위에서 여러 날 기도한 의상애용으로부터 여의주를 받고  관음보살로부터 수정 염주를 받은 후 이를 안치한 곳이 낙산사다. 훗날 의상대사가 수도한 절벽 위에 정자를 세워  의상대(義湘臺)라 불렀고  관음보살이 바다에서 붉은 연꽃을 타고 솟아오른 자리 옆에 절을 지어 홍련암(紅蓮庵)이라 했다.  이곳은 오늘날 우리나라 4대 관음성지(觀音聖地)로서 불교신도들이 많이 참배하고 있다. 참고로 4대관 음성지(觀音聖地)는 ①낙산사 홍련암  ②강화도 석모도 보문사 ③남해군(南海郡) 금산(金山) 보리암(普提庵) ③통천군 금란굴(金蘭窟)이다. 1977년에 오봉산 자락 신선봉 정상에 동양 최대 해수관음보살을 세웠다.  낙산(洛山) 주위의 경관을 다시 여덟곳으로 나누어 낙산팔경이 전해오고 있다. 낙산팔경은  ① 낙산사의 저녁 종소리(洛迦暮鐘)  ② 설악산에서 바라보는  저녁노을(雪岳返照)  ③ 광석에서의 한밤중 다듬이 소리(廣石夜瞻)  ④ 기동에서 피어오르는 저녁밥 짓는 연기(基洞暮煙)  ⑤ 망월대 앞 동해 모래사장에 내려오는 기러기떼(平沙落雁)  ⑥ 멀리 망월대  앞 포구로 돌아오는 돛단배(遠浦歸帆)  ⑦ 길게 뻗어내린 남대천의 물줄기(九萬長川)   ⑧ 망월대에서 바라보는 가을달의 정취(望亭秋月)이다.  * 문화재 양양 낙산사 칠층석탑(보물 제499호) 양양 낙산사 건칠관음보살좌상(보물 제1362호)  양양 낙산사 해수관음공중사리탑·비 및 사리장엄구 일괄(보물 제1723호)  양양 낙산사 일원(사적 제495호)  양양 낙산사 의상대와 홍련암(명승 제27호)  낙산사홍예문(강원도 유형문화재 제33호)  낙산사원장(강원도 유형문화재 제34호)  낙산사홍련암(강원도 문화재자료 제36호) 
2. KBC 광주방송,광주광역시 남구 중앙로 87,#KBC광주방송#관광지#사계절#아이와함께#여름방학가볼만한곳#이색체험#전라권#직업체험#체험학습#테마,KBC 광주방송 062-650-3114,KBC 광주방송  http://www.ikbc.co.kr ,일요일  공휴일  방송국 사정에 의한 일자   (단  금요일과 토요일은 안내자의 스케줄에 따라 견학여부가 확정됨),https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=1dcb30b6-1ac1-42b3-bf49-3eebc146a92a,* 호남지역 최초 TV 민영방송사. KBC 광주방송 *  1995년 5월 개국한 KBC광주방송은 호남 최초 TV 민영방송으로 출범해 18년 동안 지역민과 함께 호흡하며 호남지역의 대표방송으로 자리매김했다. 광주방송은 청소년을 위한 방송체험센터를 운영하고 있다. 방송국 1층에 위치한 체험센터는 방송제작현장을 간접적으로 체험해 볼 수 있는 기회를 제공한다. 방송국에 도착하면 방송이 제작되는 전반적인 과정을 영상으로 시청하고 체험관으로 이동하게 된다. 합성영상 제작을 위한 블루 스크린 앞에서 다양한 포즈로 체험을 즐길 수 있으며  뉴스 세트의 앵커 자리에 앉아 앵커체험도 할 수 있다. 이곳에서는 음향과 화면조정을 주관하는 시설과 각종 방송장비도 직접 조작해볼 수 있다. 
3. 하이밸리 호텔[한국관광 품질인증/Korea Quality],강원도 정선군 고한읍 고한로 28-1,#강원추천숙소#숙박#숙소#우수숙소#인증숙소#정선숙소#정선추천숙소#추천숙박#하이밸리호텔#한국관광품질인증#한국관광품질인증업소#함백산,033-592-2003,  http://www.highvalley.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=65bfdb9e-c02d-4895-9310-223938dfa2f6, 하이밸리호텔은 백두대간 중심에 위치한 함백산 자락에 인간 생활의 최적지인 해발 700m에 위치해 있다. 하이밸리호텔은 유럽풍의 세련되고 아름다운 외부와 함백산의 야생화를 테마로 한 자연친화적인 객실을 갖춘 호텔로서 내 집과 같은 최상의 편안함을 제공한다. 가족 단위  소규모 단체여행객을 위한 콘도룸(6인)과 한실  침대가 있는 일반실 등이 구비되어 있어 편리하게 이용할 수 있다. 사시사철 상쾌한 공기  아름다운 산악과 자연을 조망할 수 있는 고한지역은 인근에 스키와 골프를 즐길 수 있는 하이원리조트가 있어 스포츠와 레저 활동을 하기에도 좋은 목적지다. 인근의 관광지로는 강원도 문화재자료 제32호인 정암사적멸보궁과 보물 제410호인 정선 정암사 수마노탑  천연기념물 제73호인 정선 정암사 열목어 서식지가 있다.   
4. 아쿠아필드 고양,경기도 고양시 덕양구 고양대로 1955,#가족과함께#관광지#미세먼지_피하는_실내여행#아이와함께#커플데이트#휴식공간#휴식여행#휴식하기좋은곳#힐링&휴양여행,아쿠아필드 고양 031-5173-4500,아쿠아필드  https://www.aquafield-ssg.co.kr/goyang/index.af ,연중 무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=1a5cff96-9742-4ee0-a433-02dadef5ebe0,북한산이 바라다보이는 고양의 가족힐링 핫 플레이스이다.클래스가 다른 찜질스파가 압권이며 루프탑풀(야외 수영장)에서는 누구나한번쯤 꿈꾸었던 로망을 만끽할 수 있다.조금 더 좋고  조금 더 안심되는 휴식  최고의 시설에배려를 더했다.찜질스파는 참숯방  황토방  불가마 등 전통 찜질룸과 미디어아트룸  구름방등 테마형 찜질룸을 모두 구비했다. 그리고 수평선과 이어지는 듯한 환상적인 느낌의 인피니티풀이 루프탑풀의 시그니처 아이템이다. 
5. 거목장민박 [한국관광 품질인증/Korea Quality],전라남도 해남군 삼산면 민박촌길 63,#거목장민박#숙박#숙소#전남추천숙소#추천숙박#한국관광품질인증#한국관광품질인증업소#해남추천숙소,061-535-1456,,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=8fcad861-a533-4b81-a9cd-59fd226d5120, 거목장민박은 전라남도 두륜산 끝자락  무선동 한옥민박촌 내에 위치한다. 1977년 해남에서 처음 한옥민박촌으로 지정된 이곳은 유명 관광지인 천년고찰 대흥사로 가는 길목이어서 해남 여행의 베이스캠프로 잡기 좋다.  거목장민박은 ‘ㄷ’ 자 구조의 전통 한옥으로 1999년부터 한옥체험 숙소로 운영되고 있다. 객실은 총 7개이며 각 객실 내부는 욕실이 딸린 현대식으로 수리해 깔끔하고 편안한 잠자리를 제공한다.  ‘큰 나무로 지은 집’이라는 뜻의 거목장민박은 육송으로 지은 덕분에 기둥과 서까래 등 한옥 전체가 암갈색을 띤다. 반질반질하게 길이 든 대청마루와 한지를 바른 창호문  낮은 돌담 너머 펼쳐진 들녘이 운치를 더한다. 너른 마당 한가운데에는 온갖 분재가 늘어선 화단이 자리를 차지하고 있다. 화초 가꾸기를 좋아하는 주인장이 숙박 손님과 함께 분재 만들기 체험도 진행한다. 체험비는 각종 꽃나무  소나무 등 종류에 따라 5000원~1만 원이며 분재는 각자 가져갈 수 있다.  
6. 무주해바라기펜션호스텔 [한국관광 품질인증/Korea Quality],전라북도 무주군 설천면 구천동1로 129-15,#무주추천숙소#무주해바라기펜션호스텔#숙박#숙소#전북추천숙소#추천숙박#한국관광품질인증#한국관광품질인증업소,010-6533-3631  063-322-9987, http://www.mujusun.com ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=4143a378-5c7c-4147-9be6-8057c44cead4, 무주해바라기펜션호스텔은 무주구천동 관광단지 안에 자리한 가족형 휴양 펜션이다. 무주의 아름답고 웅장한 풍경을 감상하고 구천동계곡의 청정한 자연 속에서 힐링하기에 더없이 좋다. 특히 무주해바라기펜션호스텔은 수량이 풍부한 계곡과 바로 접해 있는 데다 관광단지 내에서 가장 상류에 자리한 덕분에 산 좋고 물 맑은 고장의 혜택을 고스란히 받고 있다. 여름철 물놀이는 물론 투숙객이 이용할 수 있도록 계곡 가까이에 데크를 설치해 봄  가을에도 계곡의 풍경을 즐기며 편안한 시간을 보내기 좋다.  펜션 이용객에게 제공하는 약초차는 펜션 주인이 직접 산에서 채취한 산약초를 정성껏 덖어 만든 것으로 무료로 맛볼 수 있다. 셀프로 조식을 해결할 수 있도록 마련한 카페에서는 약초차 외에 커피  토스트  달걀프라이로 간단한 아침식사를 할 수 있다.  객실 이름은 해바라기  초롱꽃  수선화  라벤더  체리꽃 등 꽃에서 가져와 머무는 사람의 마음을 푸근하게 한다. 객실은 모두 온돌로 구성되어 있고  깔끔하게 라벤더 컬러로 마감해 편안한 분위기를 느낄 수 있다.  
7. 호텔 더 에이치(Hotel The H  더 에이치) [한국관광 품질인증/Korea Quality],대전광역시 대덕구 신탄진동로23번길 58,#대전추천숙소#더에이치#숙박#숙소#추천숙박#한국관광품질인증#한국관광품질인증업소#호텔더에이치,042-932-0005, http://www.hoteltheh.co.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=cd74b2f4-6f5f-4b0c-842a-007b51548781, 호텔 더 에이치는 대전시 신탄진역에서 300m 거리에 위치한 비즈니스호텔이다. 출장은 물론 여행 시에도 만족할 수 있는 숙소로 합리적인 가격과 품격 있는 서비스를 제공한다. 총 32개 객실은 스탠더드룸과 트윈룸  펜트룸으로 나뉜다. 스탠더드룸은 1인부터 사용 가능하며 펜트룸은 기준인원 6명  최대 8명까지 머물 수 있다. 펜트룸은 바비큐와 캠프파이어  취사가 가능하고 룸 전용 테라스와 수영장을 갖춰 회식과 가족모임 공간으로 활용하기 좋다. 모든 투숙객에게는 1층에 자리한 카페에서 무료 조식을 제공한다. 토스트  시리얼 및 여러 종류의 라면  컵밥과 함께 커피  주스  우유 등이 준비된다. 조식시간은 오전 10시까지이며 그 외 시간에는 카페로 운영한다. 그 옆으로 공용 PC와 프린터를 갖춘 비즈니스센터도 운영한다. 도보 20분 거리에 금강이 흐르는 금강로하스에코공원이 자리해 아침저녁 산책을 즐기기 좋다. 장애인용 화장실을 갖춘 객실도 있다.  
8. 완도원네스리조트 [한국관광 품질인증/Korea Quality],전라남도 완도군 완도읍 청해진서로 189-50,#숙박#숙소#완도원네스리조트#완도추천숙소#전남추천숙소#추천숙박#한국관광품질인증#한국관광품질인증업소,061-553-1000, https://www.onenessresort.com ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=07e9a1b9-4f5b-48b2-b380-a7a93612448c, 전남 완도는 아시아 최초 슬로시티로 지정된 청산도를 비롯해 200여 개의 섬을 거느린 바다와 때 묻지 않은 자연 환경을 간직하고 있다. 완도원네스리조트는 ‘건강의 섬’ 완도의 아름다운 풍경과 잘 조화를 이루고 있다. 로비부터 전 객실  레스토랑  카페  야외수영장  야외 바비큐장까지 대부분의 부대시설이 바다로 향해 있어 온종일 쪽빛 바다와 눈을 맞추며 휴양할 수 있다. 가까이는 구불구불한 리아스식 해안과 한가로운 포구 풍경이  날씨가 쾌청한 날에는 멀리 제주도까지 보인다. 2016년에 문을 연 신축 리조트라 시설이 깔끔하고 모든 객실은 화이트와 우드의 조합으로 군더더기 없이 세련된 분위기를 연출한다.  총 109개 객실을 보유  완도 최대 규모의 숙박 시설인 원네스리조트는 스탠다드 한실  스탠다드 트윈  스탠다드 더블  패밀리 한실  스위트룸 등 8가지 타입의 객실을 갖췄다. 방과 욕실이 넓은 편인 데다 층마다 공동취사장이 있어 편안하고 쾌적하게 머물기 좋다. 가장 많은 인원이 머물 수 있는 로얄스위트룸은 유일하게 취사시설이 구비된 객실이다. 아늑한 다락방과 바다를 바라보며 몸을 담글 수 있는 욕조도 있다.   
9. 두바이호텔 [한국관광 품질인증/Korea Quality],광주광역시 서구 상무번영로 47,#광주추천숙소#두바이호텔#숙박#숙소#추천숙박#한국관광품질인증#한국관광품질인증업소,062-370-0700  010-5094-1400, http://www.dubaihotel.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=c88eded5-ebd0-4ebb-8843-29e8b9ab7218, 광주 두바이호텔은 2016년 9월 오픈했다. 지상 13층 규모의 호텔에는 총 85개 객실을 갖췄고 더블룸·트윈룸·스위트룸 등 다양한 객실 타입이 마련되어 있다. 모든 객실에는 더블침대를 일반 사이즈보다 큰 킹사이즈로 설치했고 욕실에는 월풀욕조를 갖췄다. 객실마다 다른 테마의 디자인으로 꾸며 여러 번 방문해도 새로움을 느낄 수 있다. 전체적으로 밝고 환한 화이트톤 인테리어에 화려한 샹들리에와 간접 조명을 설치해 품격을 높였다. 무료 발레파킹 서비스와 조식을 제공하는데 조식은 한식을 포함한 미국식 뷔페로 오전 7시 반부터 9시 반까지 이용 가능하다. 두바이호텔은 전 임직원이 쾌적한 공간을 위한 청결과 편안한 쉼을 위한 친절을 최우선으로 한다. 호텔에서 차량으로 광주공항까지 약 10분  KTX·SRT 광주송정역까지 약 15분  유스퀘어광주버스터미널까지 10분이면 도착한다. 김대중컨벤션센터  5·18기념공원과 인접하고 광주시청까지 도보 이동이 가능하다. 목포·나주·무안·함평 등 인근 지역으로의 이동도 수월해 출장은 물론 여행 시에도 이용하기 좋다.   
