여행지이름,주소,태그,전화번호,홈페이지,영업일,이미지,OVERVIEW
0. 제주 펄 관광호텔,제주특별자치도 제주시 신대로20길 49 (연동),#숙박#제주도#제주숙소,064-742-9517  8,  http://pearlhotel.kr/index.php ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=93057cc1-2d76-41c3-9d7d-094c393f198a,제주 국제공항에서 택시로 5분 거리에 위치한 제주 펄 관광호텔은 각종 부대시설을 갖춘 새로운 스타일의 관광호텔로서 신혼여행 및 가족 관광길에 만날 수 있는 최적의 호텔이다. 
1. 호텔 삼정,서울특별시 강남구 봉은사로 150,#강남구#서울숙소#숙박,02-557-1221, http://www.samjunghotel.co.kr/ ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=009b3e3d-3c38-4f4a-b56f-e7e7039e2c86,서울 강남의 중앙에 위치한 호텔삼정은 역사와 전통을 자랑하는 명문호텔로서 자리매김해 왔다. 호텔삼정은 무엇보다도 빌딩식 비즈니스호텔의 답답함에 지친 고객을 위해 여유로운 공간과 정원  파크가 있는 고객의 쉼터로 편안함과 여유로움  한국적 정을 느낄 수 있는 호텔을 추구하고자 했다. 160실의 객실은 고급스러운 실내장식과 여유로운 공간구성을 통해 고객이 최대한 여유롭고 편안히 쉴 수 있는 공간을 마련했다. 층별로 다른 콘셉트의 객실들은  새로운 느낌으로 고객에게 다가간다. 약 3천여 평의 넓은 대지 위에 지상 12층  지하 2층으로 구성된 본관 건물과 지상 2층의 신관 건물은 절묘한 조화를 이루고 있으며  대형 연회/웨딩홀 3개  식음료 업장 5개가 마련되어 있고 여타 부대시설로는 사우나  관광극장  식당  웨딩갤러리 빌딩이 있다.  
2. 삼정,서울특별시 강남구 봉은사로 626,#맛집#음식,02-3447-3030, http://www.samjungbok.com ,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=8a8b9356-cad6-41e8-9ecb-256368fce52b,국내 최초 복 코스 요리 정착화에 성공한 소문난 복집이다. ‘복’이라는 한가지 테마를 식사 개념에서 종합 요리로 승화시켰으며 일본 현지의 유명업소와의 메뉴개발과 연구 활동도 활발하다. 특히 살아 있는 복어를 5분 안에 제독 처리하여 그 자리에서 바로 맛볼 수 있는 즐거움을 선사한다. 
3. 메트로호텔,서울특별시 중구 명동9가길 14,#서울숙소#숙박,02-752-1112,  http://www.metrohotel.co.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=e5eb14bd-99e3-4240-80a6-ed49d2d817bf,아늑한 객실과 스타일리쉬한 디자인을 갖춘 메트로호텔은 서울에서도 명동 중심에 위치하여 고객 접근성을 극대화 하였으며  서울의 유명 관광지들이 호텔로부터 수분 거리에 위치하고 있다. 메트로호텔은 교통부 등록 1호인 대한민국 최초의 관광호텔로써 1960년 개관이래 고객만족을 위하여 노력해오고 있다.
4. 가락관광호텔,서울특별시 송파구 송파대로28길 5,#서울숙소#송파구#숙박,02-400-6641~3,  http://www.hotelkarak.com ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=3ff5062b-6193-4b14-ae9b-4c90c9b7d5c5,가락 관광호텔은 동양 최대의 가락동농수산물시장과 인접해 있고 주변에 잠실 롯데월드  올림픽공원  삼성의료원  현대아산병원  가든파이브  코엑스  도심 공항 터미널  잠실경기장 등이 근거리에 위치하여 비즈니스 스포츠 문화 건강의 중심에 있다.  
5. 라한호텔(구 베스트웨스턴 포항),경상북도 포항시 북구 삼호로265번길 1,#숙박#포항숙소,054-230-7000, http://www.hotelpohang.co.kr. ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=6f11bc98-9a2c-4f7e-81a8-1ad1712f8226,라한호텔은 포항을 대표하는 랜드마크 호텔로 영일대 해수욕장에 위치하고 있으며 전 객실 모두 아름다운 바다전망을 자랑한다. 포스코와 같은 주요 비즈니스 지역과도 인접해 있어 레저와 비지니스 고객 모두에게 최적의 환경과 서비스를 제공한다. 효율적인 공간 설계가 돋보이는 객실은 눈 앞에서 펼쳐지는 에메랄드 빛 바다 전망이 특별함을 더한다.
6. 그랜드 머큐어 앰배서더 창원(구 풀만 앰배서더 창원),경상남도 창원시 의창구 원이대로 332,#숙박#창원숙소,055-600-0700, https://pullman.ambatel.com. ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=c8ccf397-a978-4aa3-806b-77d22e7495bf,세계적 명성을 자랑하는 ACCOR계열 호텔  풀만 앰배서더 창원이  그랜드 머큐어 앰배서더 창원 (Grand Mercure Ambassador Changwon) 으로 새로운 도약을 한다. 브랜드 가치를 전달하는  차별화된 고객중심 서비스로 고객님을 모시고 있다. 경남의 랜드마크인 City7 Mall과 CECO 창원 컨벤션 센터와 나란히 인접하고 있어 다양한 대규모 국제행사를 유치할 수 있다. 또한 세련되고 현대적 감각의 321개의 객실의 안락한 침대와 최신식 시설의 부대시설  그리고 전통적인 향기를 느낄 수 있는 주변 창원의집등을 포함한 문화적 공간들은 레저 여행객과 비즈니스 여행객에게 이상적이다. 방문하시기에 김해 국제공항과 40분  KTX창원역/ 창원중앙역과는 10분 거리에 위치하여 교통이 매우 편리하다.
7. 창원 진해우체국,경상남도 창원시 진해구 백구로 40,#경상권#관광지#교과서속여행#문화재#역사#역사공부#역사를품은곳#역사문화재#역사속으로#역사유적#역사유적지#역사이야기#역사탐험#진해우체국,창원시 관광문화국 문화예술과(문화재) 055-225-3652  창원중앙역안내소 055-289-8815  진해우체국 055-542-0005,창원 문화관광  http://culture.changwon.go.kr    문화재청  http://www.cha.go.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=1bd1e35c-e51b-4c2b-93f0-5e55be338f15,진해우체국은 1912년 1월 25일 준공된 우체국 건물이다. 설계자와 시공자는 알려져 있지 않다. Y형 도로의 중앙에 있는 삼각형의 대지 2 086m²(631평) 위에 총건평 451.9m²(136.7평)으로 지은 단층  목조건물이다. 이 건물은 삼각형대지의 꼭지점을 정면으로 하고 있다.  즉  Y자 양측의 도로가 만나는 지점이 정면이 되는 것이다.  따라서 입구는 좁으나 건물 안으로 들어서면 점차 넓어지는 구조로 되어있다. 건물의 지붕은 원래 동판으로 덮고 사방에 난간을 둘렀으며 자연광의  일조량이 충분히 흡수되도록 반원형의 채광창을 설치하였다. 실내에 들어서면 한 단 높은 곳에 카운터를 두고  입구쪽 낮은 공간을 객장으로 반대쪽은 우편업무를 수행하는 곳으로 하고 있다. 건물의 양식은 일찍부터 이 지역에 러시아 공사관이 있었던 탓으로 러시아풍의 근대건축양식이다.   * 면적 - 3 996.1㎡ 
8. 강원 영월 김삿갓 [슬로시티],강원도 영월군 김삿갓면,#강원권#강원영월김삿갓#관광지#교과서속여행#사계절#슬로시티#아이와함께#역사#자연마을#자연좋은곳#자연환경#체험학습#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,기획감사실(슬로시티) 033-370-2893,슬로시티  http://www.cittaslow.kr ,,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=a047348b-3aec-4d7a-80a7-86b77562db18,강원도 최남단에 자리한 영월군 김삿갓면은 강원도 최초로 국제슬로시티에 지정된 지역이다. 방랑시인 김삿갓 유적지 덕분에 고장 이름이   김삿갓면  이라 붙은 이곳은 자유로운 방랑자의 이름만큼 청정한 자연환경을 지키고 있어   청정 여행지  로 주목받고 있다.  청정한 자연환경을 잘 보존하고 있는 영월군은 천혜의 자연환경뿐만 아니라  전국에서 가장 많은 박물관을 품은 고장으로 꼽힌다. 총 24개의 박물관이 있는데 슬로시티 김삿갓면에   난고김삿갓문학관  과   영원동굴생태과      조선민화박물관   등 총 8개의 박물관이 자리한다. 삶에 대한 물질적 욕심 대신 오롯이 삶 자체에 집중한 방랑객의 흔적을 따라가며 그동안의 인생에 대해 돌아볼 수 있는 슬로시티이다. 
9. 상원사(원주),강원도 원주시 신림면 성남로 930,#강원권#관광지#교과서속여행#문화재#불교#불교문화#사찰#사찰여행#상원사#역사#자연환경#전통사찰#한국불교#휴식하기좋은곳,033-765-1608,,연중무휴,https://support.visitkorea.or.kr/img/call?cmd=VIEW&id=9c8bcf90-1a9b-4a21-b9ab-011c7b5d73cd,* 은혜갚은 꿩의 전설  상원사(원주) *  상원사는 치악산의 남쪽 끝 남대봉(1 182m) 기슭에  있는 절로 100평 남짓한 돌바닥 위에 세워져 있는데 절 앞 바위 틈에서는 시원한  샘물이 솟아오르고  그 앞에는 40여m의 벼랑 이 있으며 벼랑 끝에는 희귀한 계수나무  3그루가 서 있다. 치악산의 유래가 된 은혜 갚은 꿩의 이야기는 이 절에서 생겨난  전설이다. 상원사의 창건은 정확치 않으나 절에 있는 석탑등의 유물로 보아  신라시대에  창건된 것으로 추정된 다고 한다. 법당 앞의 석탑 2기는 고산사찰의 운치를 더욱  장엄하게 해주며  지방유형문 화재 25호로 지정되어 있다.   신림면 성남2리에 소재하고 있는 상원사는  치악산 남대봉 아래에 있는 사찰로서 신라 문무왕때 의상대사가 창건하였다는 설과  신라말 경순왕의 왕사였던 무착선사가 당나라에서 귀국하여 오대산 상원사에서 수도하던  중 문수보살에게 기도하여 관법으로 창건하였다는 설이 전해오고 있다.    창건 이후로 고려말에 나옹화상이 중창하였고  월봉·위학·정암·해봉·삼공·축념  등의 선사들이 이곳에서 수도하였으며 조선시대의 여러 왕들은 이 절에서 국태민안을  기도하게 하였다고 한다. 6.25전쟁 때 전소되어 폐허되었던 것을 1968년 당시 주지인  송문영 법사와 의성보살에 의하여 중신 복구되었다.   * 상원사의 유적 *  현존하는 건물로는 1984년 6월 2일에 문화재자료  제18호로 지정된 대웅전과 심우당·심검당·범종각·산신각 등이  있다. 대웅전을 중심으로 나란히 쌍탑이 있는데  이러한 쌍탑이 등장하는 시기는  대체적으로 삼국통일 이후로서 왕성한 국력에 의하여 전국도처에 유행하게 되었다.     이 석탑은 신라석탑의 정형을 따른 2중기단위에  3층 옥개를 형성하였으며  상부 상륜부는 둥글게 연꽃봉오리 모양을 새겨 일반 탑에서  보기 어려운 양식을 나타내고 있다. 
